"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
11004626765,3542;2680505864,8688;0;14293589910,1868;0;0;2002
10987597386,5692;2343949926,31321;0;15169036865,1064;0;0;2003
11865075112,783;1819259635,53528;56051157,740108;14607413038,7068;0;0;2004
11795515936,1011;1563308171,13975;166014003,905855;15181293508,8169;0;0;2005
12295840420,3814;1288059342,02255;210540909,171019;14719580024,8426;0;0;2006
10488220874,9568;1348898825,10293;241324455,392137;14918756260,186;5809581,50827253;0;2007
11438890727,5116;1576943440,07957;232309343,985019;14775046039,3211;93737347,6442564;995761,030889941;2008
11925691002,7682;2728288869,91464;340303347,257312;13917758625,5456;190554929,923929;5678227,39422955;2009
9034395886,31116;3423039380,50769;427551093,65175;15872511249,217;925956748,373929;37629866,5007504;2010
8000410606,89781;2965468609,71085;316809381,366914;16223254054,3997;906534773,660104;26858151,3575349;2011
8274400698,53948;3618506378,4581;218647860,082579;15770891155,5802;884559425,653382;27895570,4359777;2012
9581194796,23384;3089840992,80597;318148819,837686;15694074615,686;932712399,133262;56216976,93378;2013
9988932024,35139;4614763662,53301;426548121,756672;11666680835,3401;1224661818,32035;14881043,1812784;2014
11139059320,1996;5948395971,40916;409724429,54497;8448522621,18441;1424761243,02217;91022965,5055376;2015
12832164198,0905;9126402845,71921;715323586,082565;4668049057,34072;1621838617,13982;17817182,4225051;2016
9618862274,94414;10899755043,5433;497580266,485527;5190831303,72939;1742443336,62691;110703275,125586;2017
10855708476,8109;11040064650,9541;0;6070948941,22925;844630233,603474;21501872,5183056;2018
