"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"abrechnungsjahr"
15667705573,6237;852035207,995833;5033586,97547776;42825294320,0741;0;0;2002
16421390054,5525;708400509,714697;0;43898941481,0117;0;2606769,47240587;2003
17161156468,827;443893841,49199;123463192,993362;41611412067,3509;0;2270311,19604153;2004
17510429467,1985;471539101,856052;459790935,358882;41591728220,5445;0;2735830,99674894;2005
16886436373,1673;461481606,102996;722965828,314444;41706009894,7877;0;3476865,01455588;2006
15132028341,942;506299483,907945;696065747,047;43395846194,5513;22327093,5408409;16322484,2092802;2007
16778164256,6865;752143728,778359;826299792,56153;40550730245,9797;349396673,362146;29119026,4929547;2008
14899580658,0427;784999658,690232;902052569,316776;41340621165,5927;1052333791,18249;97026304,5552281;2009
13293892613,7713;639694671,953708;774165880,791332;41211008670,5334;1903263888,6845;1182622521,04182;2010
12491796688,6785;805319561,715752;799242244,786672;40415750277,8382;2214275055,56966;1461022891,64031;2011
13490373028,4947;910816998,614124;841080364,574094;39360942074,5927;2361301137,15911;1537297736,60324;2012
14034489305,6135;906431496,373973;951477255,767136;37908855519,557;2778862063,31426;1438711256,50926;2013
12484389097,2971;836642414,716786;937174150,309362;36815410883,1537;2775759916,66297;1384323147,55779;2014
13052315865,7867;1046381351,44751;1185052541,2844;38183352383,8205;2906364431,83339;1018670331,64085;2015
13724352829,9879;1160181534,72659;1638776157,64646;38160630967,2196;3118312721,40722;73033023,6551142;2016
14336541751,8828;1647483006,43763;2474104881,36201;35052001750,9297;3227425723,975;426183551,353715;2017
29553576227,9419;2846043354,71828;128435635,246465;20841261381,8552;244378634,687695;2416776223,72192;2018
