"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom";"total"
2002;3149,20882029835;218,887844934129;1,18289293923727;13275,841239223;0;626,204136232915;17271,3249336276
2003;3300,69940096506;177,525167734503;0;13608,6718591136;0;626,204136232915;17713,1005640461
2004;3449,39245023423;108,443265476493;29,0138503534401;12899,5377408788;0;626,204136232915;17112,5914431759
2005;3519,59632290689;112,22630624174;108,050869809337;12893,4357483688;0;626,204136232915;17259,5133835597
2006;3394,17371100662;106,925288134064;169,896969653894;12928,8630673842;0;626,204136232915;17226,0631724117
2007;3041,53769673035;114,119903672851;163,575450556045;13452,7123203109;0,893083741633637;626,204136232915;17399,0425912447
2008;3372,411015594;164,794690975339;194,18045125196;12570,7263762537;13,9758669344858;626,204136232915;16942,2925372424
2009;2994,81571226658;167,12642733515;211,982353789442;12815,5925613337;42,0933516472996;626,204136232915;16857,8145426051
2010;2672,07241536804;132,160919225636;181,928981985963;12775,4126878654;76,1305555473799;651,625009094045;16489,3305690864
2011;2510,85113442437;161,305508211665;187,821927524868;12528,8825861298;88,5710022227866;791,874407269047;16269,3065657826
2012;2711,56497872744;176,69849773114;197,653885674912;12201,8920431237;94,4520454863643;817,842395872923;16200,1038466165
2013;2820,93235042831;170,137191869395;223,597155105277;11751,7452110627;111,15448253257;752,445987154342;15830,0123781526
2014;2509,36220855672;151,766934029625;220,2359253227;11412,7773737777;111,030396666519;711,542097844705;15116,7149361979
2015;2623,51548902313;183,22137463846;278,487347201833;11836,8392389843;116,254577273335;514,42851747863;15552,7465445997
2016;2758,59491882757;195,954661215322;385,112397046917;11829,7955998381;124,732508856289;36,1513467092815;15330,3414324934
2017;2881,64489212844;267,880736846759;581,414647120072;10866,1205427882;129,097028959;207,125205957906;14933,2830538004
2018;5940,26882181631;444,836576342467;30,1823742829192;6460,79102837512;9,77514538750778;1152,80225871536;14038,6562049197
