"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;147,386047689171;26,6731238998773;0;115,803891840129;0;0,399825307358469
2003;146,944685729124;27,6832801464575;0;110,000893887469;0;0,519772899565965
2004;146,503323769077;28,6934363930379;0;104,197895934807;0;0,63972049177346
2005;146,061961809029;29,7035926396184;0;98,3948979821471;0;0,759668083980955
2006;145,620599848982;30,7137488861986;0;92,5919000294853;0,00799078764177352;0,87961567618845
2007;145,179237888934;31,723905132779;0;86,7889020768253;0,0803813011512773;0,999563268395946
2008;144,737875928887;32,7340613793592;0;80,9859041241634;0,152771814660781;1,11951086060344
2009;144,296513968839;33,7442176259397;0;75,1829061715016;0,225162328170313;1,23945845281094
2010;143,855152008792;34,7543738725201;0;69,3799082188416;0,297552841679817;1,35940604501843
2011;143,413790048745;35,7645301191003;0;63,5769102661798;0,369943355189349;1,47935363722593
2012;142,972428088697;36,7746863656807;0;57,7739123135198;0,442333868698853;1,59930122943342
2013;142,53106612865;37,7848426122609;0;51,9709143608579;0,514724382208357;1,71924882164092
2014;142,089704168602;38,7949988588414;0;46,1679164081979;0,587114895717889;1,83919641384841
2015;141,648342208555;39,8051551054218;0;40,3649184555361;0,659505409227393;1,95914400605591
2016;141,206980248507;40,815311352002;0;34,5619205028761;0,731895922736925;2,0790915982634
2017;140,76561828846;41,8254675985825;0;28,7589225502143;0,804286436246429;2,1990391904709
2018;140,324256328413;42,8356238451629;0;22,9559245975543;0,876676949755932;2,31898678267839
