"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;277,304084255321;36,9961000030548;1,03578955073658;65,6967229455113;0;8,79952828532817
2003;274,014511276601;38,4246613244472;1,08463129721672;63,4441581270685;0;9,23528378293634
2004;270,724938297882;39,8532226458392;1,13347304369684;61,1915933086257;0;9,67103928054451
2005;267,435365319162;41,2817839672311;1,18231479017697;58,9390284901829;0;10,1067947781528
2006;264,145792340441;42,7103452886236;1,23115653665711;56,6864636717401;0,0146464629542891;10,542550275761
2007;260,856219361722;44,1389066100155;1,27999828313723;54,4338988532973;0,0904230626686626;10,9783057733691
2008;257,566646383002;45,5674679314075;1,32884002961737;52,1813340348535;0,166199662383065;11,4140612709773
2009;254,277073404282;46,9960292527999;1,3776817760975;49,9287692164107;0,241976262097467;11,8498167685856
2010;250,987500425563;48,4245905741918;1,42652352257763;47,6762043979679;0,31775286181184;12,2855722661938
2011;247,697927446843;49,8531518955838;1,47536526905776;45,4236395795251;0,393529461526242;12,7213277638019
2012;244,408354468123;51,2817132169762;1,5242070155379;43,1710747610823;0,469306061240616;13,1570832614101
2013;241,118781489404;52,7102745383681;1,57304876201802;40,9185099426395;0,545082660955018;13,5928387590183
2014;237,829208510683;54,1388358597601;1,62189050849815;38,6659451241958;0,62085926066942;14,0285942566265
2015;234,539635531964;55,5673971811525;1,67073225497829;36,413380305753;0,696635860383793;14,4643497542347
2016;231,250062553244;56,9959585025445;1,71957400145841;34,1608154873102;0,772412460098195;14,9001052518429
2017;227,960489574524;58,4245198239364;1,76841574793855;31,9082506688674;0,848189059812569;15,3358607494511
2018;224,670916595805;59,8530811453288;1,81725749441868;29,6556858504246;0,923965659526971;15,7716162470593
