"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;110,011792725188;27,5581340774526;0,52334872183679;21,0445058205073;0;1,77521816215056
2003;110,940303258795;27,2692532193979;0,497984973506242;19,9631702238644;0;1,76008539445271
2004;111,868813792402;26,9803723613431;0,472621225175693;18,8818346272219;0;1,74495262675484
2005;112,797324326009;26,6914915032885;0,447257476845138;17,800499030579;0;1,72981985905698
2006;113,725834859616;26,4026106452338;0,42189372851459;16,719163433936;0;1,71468709135912
2007;114,654345393223;26,1137297871792;0,396529980184035;15,6378278372936;0;1,69955432366126
2008;115,58285592683;25,8248489291245;0,371166231853486;14,5564922406506;0;1,68442155596341
2009;116,511366460437;25,5359680710699;0,345802483522938;13,4751566440077;0;1,66928878826555
2010;117,439876994044;25,2470872130151;0,320438735192383;12,3938210473652;0;1,65415602056769
2011;118,36838752765;24,9582063549605;0,295074986861835;11,3124854507223;0;1,63902325286983
2012;119,296898061257;24,6693254969058;0,269711238531286;10,2311498540794;0;1,62389048517197
2013;120,225408594864;24,3804446388511;0,244347490200731;9,1498142574369;0;1,60875771747411
2014;121,153919128471;24,0915637807965;0,218983741870183;8,06847866079397;0;1,59362494977625
2015;122,082429662078;23,8026829227418;0,193619993539627;6,98714306415104;0;1,57849218207839
2016;123,010940195685;23,5138020646871;0,168256245209079;5,90580746750857;0;1,56335941438053
2017;123,939450729292;23,2249212066324;0,142892496878531;4,82447187086564;0;1,54822664668267
2018;124,867961262898;22,9360403485778;0,117528748547976;3,74313627422316;0;1,53309387898481
