"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;52,085308869085;16,7451530435962;0;31,9724176724544;0;0
2003;52,3692696561964;17,7552564873508;0;30,4799533483397;0;0
2004;52,6532304433077;18,7653599311056;0;28,9874890242254;0;0
2005;52,9371912304191;19,7754633748602;0;27,4950247001111;0;0
2006;53,2211520175305;20,7855668186148;0;26,0025603759964;0,0280620851141293;0
2007;53,5051128046418;21,7956702623694;0;24,5100960518821;0,189120881106533;2,8421709430404e-14
2008;53,7890735917532;22,8057737061242;0;23,0176317277678;0,350179677098936;0,0373412972560772
2009;54,0730343788646;23,8158771498788;0;21,5251674036531;0,511238473091339;0,0746825945121259
2010;54,3569951659759;24,8259805936334;0;20,0327030795388;0,672297269083742;0,11202389176816
2011;54,6409559530873;25,836084037388;0;18,5402387554245;0,833356065076146;0,149365189024209
2012;54,9249167401987;26,8461874811426;0;17,0477744313098;0,994414861068549;0,186706486280258
2013;55,2088775273101;27,8562909248974;0;15,5553101071955;1,1554736570609;0,224047783536307
2014;55,4928383144214;28,866394368652;0;14,0628457830808;1,3165324530533;0,261389080792355
2015;55,7767991015328;29,8764978124066;0;12,5703814589665;1,4775912490457;0,298730378048404
2016;56,0607598886442;30,8866012561612;0;11,0779171348522;1,6386500450381;0,336071675304453
2017;56,3447206757555;31,8967046999157;0;9,58545281073748;1,79970884103051;0,373412972560502
2018;56,6286814628669;32,9068081436706;0;8,0929884866232;1,96076763702291;0,41075426981655
