"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;65,5591385710765;27,4502224787515;0;6,99063895017218;0;0
2003;65,9139789368326;27,5067906246325;0;6,57923043853498;0;0
2004;66,2688193025887;27,5633587705136;0;6,16782192689777;0;0
2005;66,6236596683448;27,6199269163947;0;5,75641341526068;0;0
2006;66,9785000341009;27,6764950622758;0;5,34500490362348;0;0
2007;67,333340399857;27,7330632081569;0;4,93359639198627;0;0
2008;67,6881807656131;27,7896313540379;0;4,52218788034907;0;0
2009;68,0430211313692;27,846199499919;0;4,11077936871197;0;0
2010;68,3978614971253;27,9027676458001;0;3,69937085707477;0;0
2011;68,7527018628813;27,9593357916812;0;3,28796234543756;0;0
2012;69,1075422286374;28,0159039375623;0;2,87655383380047;0;0
2013;69,4623825943935;28,0724720834433;0;2,46514532216327;0;0
2014;69,8172229601496;28,1290402293244;0;2,05373681052606;0;0
2015;70,1720633259057;28,1856083752055;0;1,64232829888886;0;0
2016;70,5269036916618;28,2421765210866;0;1,23091978725176;0;0
2017;70,8817440574179;28,2987446669677;0;0,819511275614559;0;0
2018;71,236584423174;28,3553128128488;0;0,408102763977354;0;0
