"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;22,2727104548569;18,171895101138;0,647589522646456;59,0565327557488;0;0
2003;23,2176121150876;19,5683216273833;0,615210046514136;56,6849077391307;0;0
2004;24,1625137753183;20,9647481536285;0,582830570381816;54,3132827225127;0;0
2005;25,107415435549;22,3611746798738;0,550451094249496;51,9416577058946;0;0,0393010844337596
2006;26,0523170957797;23,7576012061186;0,518071618117176;49,5700326892766;0;0,101977390708186
2007;26,9972187560104;25,1540277323638;0,485692141984856;47,1984076726585;0;0,164653696982612
2008;27,9421204162411;26,5504542586091;0,453312665852536;44,8267826560405;0;0,227330003257038
2009;28,8870220764718;27,9468807848543;0,420933189720216;42,4551576394233;0;0,290006309531464
2010;29,8319237367023;29,3433073110996;0,388553713587882;40,0835326228053;0;0,35268261580589
2011;30,776825396933;30,7397338373444;0,356174237455562;37,7119076061872;0;0,415358922080301
2012;31,7217270571637;32,1361603635896;0,323794761323242;35,3402825895691;0;0,478035228354727
2013;32,6666287173944;33,5325868898349;0,291415285190922;32,9686575729511;0;0,540711534629153
2014;33,6115303776251;34,9290134160801;0,259035809058602;30,597032556333;0;0,603387840903579
2015;34,5564320378558;36,3254399423254;0,226656332926282;28,225407539715;0;0,666064147178005
2016;35,5013336980865;37,7218664685702;0,194276856793962;25,8537825230969;0;0,728740453452431
2017;36,4462353583172;39,1182929948154;0,161897380661642;23,4821575064789;0;0,791416759726857
2018;37,3911370185479;40,5147195210607;0,129517904529322;21,1105324898617;0;0,854093066001269
