"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;63,8288085143944;29,6565146814402;0;6,51467680416556;0;0
2003;64,2423999299549;29,5873512512456;0;6,17024881879968;0;0
2004;64,6559913455154;29,5181878210509;0;5,8258208334338;0;0
2005;65,0695827610758;29,4490243908563;0;5,48139284806803;0;0
2006;65,4831741766363;29,3798609606617;0;5,13696486270214;0;0
2007;65,8967655921969;29,310697530467;0;4,79253687733626;0;0
2008;66,3103570077574;29,2415341002724;0;4,44810889197038;0;0
2009;66,7239484233179;29,1723706700777;0;4,10368090660461;0;0
2010;67,1375398388783;29,1032072398831;0;3,75925292123873;0;0
2011;67,5511312544388;29,0340438096885;0;3,41482493587284;0;0
2012;67,9647226699993;28,9648803794938;0;3,07039695050696;0;0
2013;68,3783140855599;28,8957169492992;0;2,72596896514119;0;0
2014;68,7919055011203;28,8265535191046;0;2,38154097977531;0;0
2015;69,2054969166808;28,7573900889099;0;2,03711299440943;0;0
2016;69,6190883322413;28,6882266587153;0;1,69268500904354;0;0
2017;70,0326797478018;28,6190632285206;0;1,34825702367777;0;0
2018;70,4462711633623;28,549899798326;0;1,00382903831189;0;0
