"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;53,8111891938142;32,1791138693407;0,265524904747934;16,6426578198118;0;0
2003;55,0065883319435;30,5675806135164;0,352695790946541;16,1998888917963;0;0
2004;56,2019874700727;28,9560473576921;0,439866677145147;15,7571199637807;0;0
2005;57,3973866082019;27,3445141018678;0,527037563343754;15,3143510357652;0;0
2006;58,5927857463312;25,7329808460436;0,61420844954236;14,8715821077496;0;0,188442850333104
2007;59,7881848844604;24,1214475902193;0,701379335740995;14,4288131797341;0;0,960175009844761
2008;60,9835840225896;22,5099143343955;0,788550221939602;13,9860442517185;0;1,73190716935665
2009;62,1789831607189;20,8983810785712;0,875721108138208;13,5432753237029;0;2,50363932886853
2010;63,3743822988481;19,2868478227469;0,962891994336815;13,1005063956874;0;3,27537148838042
2011;64,5697814369773;17,6753145669227;1,05006288053542;12,6577374676718;0;4,0471036478923
2012;65,765180575107;16,0637813110984;1,13723376673406;12,2149685396563;0;4,81883580740418
2013;66,9605797132363;14,4522480552741;1,22440465293266;11,7721996116408;0;5,59056796691607
2014;68,1559788513655;12,8407147994503;1,31157553913127;11,3294306836252;0;6,36230012642795
2015;69,3513779894947;11,2291815436261;1,39874642532988;10,8866617556097;0;7,13403228593984
2016;70,546777127624;9,61764828780179;1,48591731152848;10,4438928275941;0;7,90576444545172
2017;71,7421762657532;8,00611503197752;1,57308819772712;10,0011238995785;0;8,67749660496338
2018;72,9375754038824;6,39458177615325;1,66025908392572;9,55835497156295;0;9,44922876447527
