"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;60,090849650453;1,71048377636396;0,221037031013452;46,8568392633561;0;0
2003;58,9904707612059;2,02284151733511;0,654797393351828;45,1360521766528;0;0
2004;57,8900918719587;2,33519925830615;1,08855775569009;43,4152650899491;0;0
2005;56,7897129827115;2,6475569992773;1,52231811802847;41,6944780032459;0;0
2006;55,6893340934644;2,95991474024834;1,95607848036684;39,9736909165422;0,199221090850813;0
2007;54,5889552042172;3,27227248121949;2,38983884270522;38,2529038298385;0,447244465628273;1,04878517639145
2008;53,48857631497;3,58463022219053;2,82359920504359;36,5321167431352;0,695267840405734;2,87580967425492
2009;52,3881974257229;3,89698796316168;3,25735956738197;34,8113296564316;0,943291215183137;4,70283417211886
2010;51,2878185364757;4,20934570413272;3,69111992972034;33,0905425697279;1,1913145899606;6,52985866998279
2011;50,1874396472285;4,52170344510387;4,12488029205872;31,3697554830246;1,43933796473806;8,35688316784672
2012;49,0870607579814;4,8340611860749;4,5586406543971;29,6489683963209;1,68736133951546;10,1839076657102
2013;47,9866818687342;5,14641892704606;4,99240101673547;27,9281813096172;1,93538471429292;12,0109321635741
2014;46,886302979487;5,45877666801709;5,42616137907373;26,207394222914;2,18340808907038;13,8379566614381
2015;45,7859240902399;5,77113440898813;5,85992174141211;24,4866071362103;2,43143146384779;15,6649811593015
2016;44,6855452009927;6,08349214995928;6,29368210375048;22,7658200495066;2,67945483862525;17,4920056571655
2017;43,5851663117455;6,39584989093032;6,72744246608886;21,0450329628034;2,92747821340271;19,3190301550294
2018;42,4847874224984;6,70820763190147;7,16120282842724;19,3242458760997;3,17550158818011;21,1460546528933
