"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;70,0865208898917;21,7860373879328;0,252743840156548;8,31683224683661;0;0
2003;69,3871016774049;22,6729762578486;0,241293377226743;7,97844176569015;0;0
2004;68,6876824649178;23,5599151277645;0,229842914296935;7,64005128454357;0;0
2005;67,9882632524307;24,4468539976804;0,218392451367126;7,301660803397;0,024369656705403;0,0204598384194981
2006;67,2888440399438;25,3337928675962;0,206941988437318;6,96327032225054;0,0779379560802624;0,12921282569215
2007;66,5894248274567;26,2207317375121;0,19549152550751;6,62487984110396;0,131506255455122;0,237965812964802
2008;65,8900056149698;27,107670607428;0,184041062577702;6,28648935995739;0,185074554829981;0,346718800237454
2009;65,1905864024827;27,9946094773438;0,172590599647897;5,94809887881092;0,238642854204841;0,455471787510106
2010;64,4911671899956;28,8815483472597;0,161140136718089;5,60970839766435;0,292211153579686;0,564224774782758
2011;63,7917479775087;29,7684872171753;0,149689673788281;5,27131791651777;0,345779452954545;0,67297776205541
2012;63,0923287650216;30,6554260870912;0,138239210858472;4,93292743537131;0,399347752329405;0,781730749328062
2013;62,3929095525348;31,5423649570071;0,126788747928664;4,59453695422474;0,452916051704264;0,890483736600714
2014;61,6934903400477;32,4293038269229;0,115338284998856;4,25614647307827;0,506484351079123;0,999236723873366
2015;60,9940711275606;33,3162426968388;0,103887822069051;3,9177559919317;0,560052650453983;1,10798971114599
2016;60,2946519150737;34,2031815667547;0,0924373591392431;3,57936551078512;0,613620949828828;1,21674269841864
2017;59,5952327025866;35,0901204366705;0,0809868962094349;3,24097502963866;0,667189249203687;1,32549568569129
2018;58,8958134900997;35,9770593065864;0,0695364332796267;2,90258454849209;0,720757548578547;1,43424867296395
