"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;0,605052484540469;0,0264465135934877;0;1,55749293628273;0;0,308175471952572
2003;0,605949609608226;0,0346911326678097;0;1,45119325040457;0;0,306124729718394
2004;0,606846734675983;0,0429357517421316;0;1,34489356452639;0;0,304073987484216
2005;0,60774385974374;0,0511803708164571;0;1,23859387864823;0;0,302023245250039
2006;0,608640984811498;0,059424989890779;0;1,13229419277005;0;0,299972503015861
2007;0,609538109879255;0,067669608965101;0,000990808319578207;1,02599450689189;0,000654760670391719;0,297921760781684
2008;0,610435234947012;0,0759142280394229;0,00924808106128694;0,919694821013735;0,00140299440719871;0,295871018547507
2009;0,61133236001477;0,0841588471137449;0,0175053538029921;0,813395135135551;0,0021512281440057;0,293820276313329
2010;0,612229485082527;0,0924034661880668;0,0257626265446973;0,707095449257395;0,00289946188081247;0,291769534079151
2011;0,613126610150284;0,100648085262389;0,0340198992864025;0,60079576337921;0,00364769561761946;0,289718791844973
2012;0,614023735218041;0,108892704336711;0,0422771720281077;0,494496077501054;0,00439592935442645;0,287668049610796
2013;0,614920860285799;0,117137323411036;0,0505344447698164;0,388196391622898;0,00514416309123322;0,285617307376619
2014;0,615817985353556;0,125381942485358;0,0587917175115216;0,281896705744714;0,00589239682804021;0,283566565142441
2015;0,616715110421313;0,13362656155968;0,0670489902532267;0,175597019866558;0,00664063056484721;0,281515822908264
2016;0,61761223548907;0,141871180634002;0,0753062629949319;0,0692973339883736;0,00738886430165397;0,279465080674086
2017;0,618509360556828;0,150115799708324;0,0835635357366371;0;0,00813709803846097;0,277414338439908
2018;0,619406485624585;0,158360418782646;0,0918208084783458;0;0,00888533177526796;0,275363596205731
