"abrechnungsjahr";"areaSFH";"areaMFH"
2002;7245,36904761891;123063,476190475
2003;7330,49999999985;123589,999999999
2004;7415,63095238083;124116,523809523
2005;7500,76190476178;124643,047619047
2006;7585,89285714272;125169,571428571
2007;7671,0238095237;125696,095238094
2008;7756,15476190465;126222,619047618
2009;7841,28571428562;126749,142857142
2010;7896;127567
2011;8005;127889
2012;8076;128195
2013;8205;128561
2014;8339;129245
2015;8388;129734
2016;8412;130479
2017;8474;131278
2018;8607,46428571426;131487,857142857
