"abrechnungsjahr";"areaSFH";"areaMFH"
2002;4304,55952380889;79849,0238095224
2003;4656,74999999942;80449,4999999988
2004;5008,94047618995;81049,976190475
2005;5361,13095238048;81650,4523809513
2006;5713,32142857101;82250,9285714275
2007;6065,51190476154;82851,4047619037
2008;6417,70238095196;83451,8809523801
2009;6769,89285714249;84052,3571428563
2010;7219;84973
2011;7423;85423
2012;7775;85767
2013;8145;86179
2014;8537;86562
2015;8873;87474
2016;9258;88372
2017;9608;89286
2018;9939,60714285716;89456,6428571427
