"abrechnungsjahr";"areaSFH";"areaMFH"
2002;21852,4999999991;63101,0357142854
2003;22293,2499999992;63215,2499999997
2004;22733,9999999992;63329,4642857141
2005;23174,7499999992;63443,6785714283
2006;23615,4999999993;63557,8928571427
2007;24056,2499999993;63672,107142857
2008;24496,9999999994;63786,3214285713
2009;24937,7499999994;63900,5357142856
2010;25480;64129
2011;25826;64145
2012;26250;64229
2013;26592;64266
2014;27041;64383
2015;27565;64534
2016;28093;64610
2017;28522;65020
2018;28904,4999999999;64928,4642857143
