"abrechnungsjahr";"areaSFH";"areaMFH"
2002;822,392857142826;111119,726190474
2003;836,749999999971;112056,249999998
2004;851,107142857116;112992,773809522
2005;865,464285714261;113929,297619046
2006;879,821428571406;114865,82142857
2007;894,178571428551;115802,345238094
2008;908,535714285696;116738,869047618
2009;922,892857142841;117675,392857142
2010;939;119362
2011;948;119619
2012;968;119973
2013;980;120973
2014;989;122115
2015;1014;122963
2016;1031;124303
2017;1031;125810
2018;1052,10714285714;126104,107142857
