"abrechnungsjahr";"areaSFH";"areaMFH"
2002;17980,845238095;90343,4523809521
2003;18128,7499999997;90433,4999999997
2004;18276,6547619045;90523,5476190474
2005;18424,5595238093;90613,595238095
2006;18572,4642857141;90703,6428571426
2007;18720,3690476188;90793,6904761903
2008;18868,2738095236;90883,7380952379
2009;19016,1785714284;90973,7857142856
2010;19222;91179
2011;19301;91191
2012;19418;91224
2013;19555;91248
2014;19768;91329
2015;19918;91389
2016;20067;91554
2017;20205;91918
2018;20347,3214285714;91784,2142857143
