"abrechnungsjahr";"areaSFH";"areaMFH"
2002;19099,4047619042;111057,880952379
2003;19500,7499999994;112275,999999998
2004;19902,0952380947;113494,119047617
2005;20303,4404761899;114712,238095236
2006;20704,7857142852;115930,357142855
2007;21106,1309523805;117148,476190474
2008;21507,4761904757;118366,595238094
2009;21908,821428571;119584,714285713
2010;22228;121205
2011;22669;121988
2012;23188;123115
2013;23559;124095
2014;23965;125404
2015;24376;126895
2016;24727;128374
2017;25007;129454
2018;25520,9285714285;130547,785714286
