"abrechnungsjahr";"areaSFH";"areaMFH"
2002;30410,8095238092;64687,0833333331
2003;30602,4999999997;64797,2499999998
2004;30794,1904761902;64907,4166666665
2005;30985,8809523807;65017,5833333331
2006;31177,5714285712;65127,7499999998
2007;31369,2619047617;65237,9166666665
2008;31560,9523809521;65348,0833333332
2009;31752,6428571427;65458,2499999999
2010;31943;65662
2011;32125;65704
2012;32325;65775
2013;32544;65806
2014;32713;65922
2015;32900;66042
2016;33085;66278
2017;33287;66443
2018;33477,8571428572;66449,75
