"abrechnungsjahr";"areaSFH";"areaMFH"
2002;19950,4999999996;61753,6666666664
2003;20198,2499999997;61846,2499999998
2004;20445,9999999997;61938,8333333331
2005;20693,7499999997;62031,4166666665
2006;20941,4999999997;62123,9999999998
2007;21189,2499999997;62216,5833333332
2008;21436,9999999998;62309,1666666665
2009;21684,7499999998;62401,7499999999
2010;21905;62572
2011;22092;62606
2012;22432;62693
2013;22760;62699
2014;22999;62760
2015;23245;62889
2016;23410;63067
2017;23554;63261
2018;23914,5;63235
