"abrechnungsjahr";"areaSFH";"areaMFH"
2002;34971,0238095233;86062,4523809514
2003;35260,7499999995;86460,7499999991
2004;35550,4761904757;86859,0476190468
2005;35840,202380952;87257,3452380945
2006;36129,9285714282;87655,6428571421
2007;36419,6547619044;88053,9404761897
2008;36709,3809523806;88452,2380952374
2009;36999,1071428568;88850,5357142851
2010;37355;89618
2011;37549;89711
2012;37788;89907
2013;38145;90182
2014;38488;90489
2015;38718;91038
2016;39113;91874
2017;39267;92324
2018;39606,6428571428;92435,2142857142
