"abrechnungsjahr";"areaSFH";"areaMFH"
2002;17370,5595238093;111617,619047619
2003;17452,7499999998;111815,25
2004;17534,9404761903;112012,880952381
2005;17617,1309523808;112210,511904762
2006;17699,3214285713;112408,142857143
2007;17781,5119047618;112605,773809523
2008;17863,7023809523;112803,404761905
2009;17945,8928571428;113001,035714285
2010;18046;113279
2011;18093;113454
2012;18212;113580
2013;18258;113612
2014;18344;113926
2015;18421;114201
2016;18543;114425
2017;18609;114646
2018;18685,6071428571;114779,714285714
