"abrechnungsjahr";"areaSFH";"areaMFH"
2002;25082,3333333327;59992,4047619032
2003;25395,2499999994;60682,9999999986
2004;25708,166666666;61373,595238094
2005;26021,0833333328;62064,1904761894
2006;26333,9999999995;62754,7857142845
2007;26646,9166666662;63445,3809523799
2008;26959,8333333329;64135,9761904753
2009;27272,7499999997;64826,5714285707
2010;27627;66264
2011;27879;66399
2012;28247;66659
2013;28472;66983
2014;28797;67613
2015;29119;68493
2016;29507;69860
2017;29799;71203
2018;30088,9999999999;71041,9285714286
