"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;155,50039511942;35,2781824452567;0;20,7123814570418;0;0
2003;154,779330557232;34,9366452774102;0;19,4912067748114;0;0
2004;154,058265995044;34,5951081095637;0;18,2700320925805;0;0
2005;153,337201432856;34,2535709417173;0;17,0488574103497;0;0
2006;152,616136870668;33,9120337738708;0;15,8276827281193;0;0
2007;151,89507230848;33,5704966060243;0;14,6065080458884;0;0
2008;151,174007746292;33,2289594381779;0;13,3853333636575;0;0
2009;150,452943184104;32,8874222703314;0;12,1641586814271;0;0
2010;149,731878621915;32,5458851024849;0;10,9429839991963;0;0
2011;149,010814059727;32,2043479346385;0;9,72180931696539;0;0
2012;148,289749497539;31,862810766792;0;8,50063463473498;0;0
2013;147,568684935351;31,5212735989455;0;7,27945995250411;0;0
2014;146,847620373163;31,1797364310991;0;6,05828527027325;0;0
2015;146,126555810975;30,8381992632526;0;4,83711058804283;0;0
2016;145,405491248787;30,4966620954061;0;3,61593590581197;0;0
2017;144,684426686599;30,1551249275597;0;2,3947612235811;0;0
2018;143,963362124411;29,8135877597132;0;1,17358654135069;0;0
