"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;117,181497510362;21,9355277772752;0,335292394497458;37,9717190000283;0;20,1835420513189
2003;116,711571834956;21,3473436635797;0,404178264659976;36,8670760309155;0;21,3921314181512
2004;116,24164615955;20,7591595498843;0,473064134822522;35,7624330618028;0;22,6007207849834
2005;115,771720484144;20,1709754361887;0,541950004985068;34,6577900926895;0;23,8093101518157
2006;115,301794808738;19,5827913224932;0,610835875147586;33,5531471235768;0;25,0178995186479
2007;114,831869133332;18,9946072087978;0,679721745310133;32,448504154464;0;26,2264888854806
2008;114,361943457925;18,4064230951021;0,74860761547265;31,3438611853508;0;27,4350782523129
2009;113,892017782519;17,8182389814067;0,817493485635197;30,239218216238;0;28,6436676191452
2010;113,422092107113;17,230054867711;0,886379355797715;29,1345752471252;0;29,8522569859774
2011;112,952166431707;16,6418707540156;0,955265225960261;28,0299322780124;0;31,0608463528101
2012;112,482240756301;16,0536866403202;1,02415109612278;26,9252893088992;0;32,2694357196424
2013;112,012315080894;15,4655025266245;1,09303696628533;25,8206463397864;0;33,4780250864746
2014;111,542389405488;14,8773184129291;1,16192283644784;24,7160033706737;0;34,6866144533069
2015;111,072463730082;14,2891342992336;1,23080870661039;23,6113604015604;0;35,8952038201392
2016;110,602538054676;13,700950185538;1,29969457677294;22,5067174324477;0;37,1037931869719
2017;110,13261237927;13,1127660718425;1,36858044693545;21,4020744633349;0;38,3123825538041
2018;109,662686703864;12,5245819581469;1,437466317098;20,2974314942221;0;39,5209719206364
