"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2079409,22283542;5537774,94231316;31257,262954569;11531499,462412;0;0
2003;2215612,27018458;5520250,45640139;32762,5493381545;11094287,8798538;0;0
2004;2351815,31753373;5502725,97048961;34267,83572174;10657076,2972958;0;0
2005;2488018,36488289;5485201,48457783;35773,1221053256;10219864,7147378;0;0
2006;2624221,41223204;5467676,99866606;37278,4084889111;9782653,13217974;1416,18204221129;0
2007;2760424,4595812;5450152,51275428;38783,6948724966;9345441,5496217;7534,94823874719;9,31322574615479e-10
2008;2896627,50693035;5432628,02684251;40288,9812560822;8908229,96706367;13653,7144352812;1087,17634024937
2009;3032830,55427951;5415103,54093073;41794,2676396677;8471018,38450563;19772,4806318153;2174,35268049734
2010;3169033,60162866;5397579,05501896;43299,5540232533;8033806,80194759;25891,2468283512;3261,52902074531
2011;3305236,64897782;5380054,56910719;44804,8404068388;7596595,21938944;32010,0130248852;4348,70536099374
2012;3441439,69632697;5362530,08319541;46310,1267904243;7159383,6368314;38128,7792214192;5435,88170124171
2013;3577642,74367613;5345005,59728364;47815,4131740094;6722172,05427337;44247,5454179551;6523,05804148968
2014;3713845,79102528;5327481,11137187;49320,699557595;6284960,47171533;50366,3116144892;7610,23438173812
2015;3850048,83837444;5309956,62546009;50825,9859411805;5847748,8891573;56485,0778110251;8697,41072198609
2016;3986251,88572359;5292432,13954832;52331,272324766;5410537,30659926;62603,8440075591;9784,58706223406
2017;4122454,93307275;5274907,65363654;53836,5587083516;4973325,72404122;68722,6102040932;10871,7634024825
2018;4258657,9804219;5257383,16772477;55341,8450919371;4536114,14148319;74841,3764006291;11958,9397427305
