"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;281683,099874252;10064,5075455168;0;986637,874424666;0;0
2003;289872,50007157;12969,1706519639;264,849621362286;955046,025764577;0;0
2004;298061,90026889;15873,833758411;1247,88196213916;923454,177104488;0;0
2005;306251,300466208;18778,496864859;2230,91430291603;891862,328444391;0;0
2006;314440,700663527;21683,1599713061;3213,94664369291;860270,479784302;289,810962895281;179,888064504135
2007;322630,100860845;24587,8230777532;4196,97898446978;828678,631124213;740,506116074743;725,36500438815
2008;330819,501058165;27492,4861842003;5180,01132524665;797086,782464117;1191,20126925409;1270,84194427216
2009;339008,901255485;30397,1492906474;6163,04366602376;765494,933804028;1641,89642243355;1816,31888415618
2010;347198,301452802;33301,8123970944;7146,07600680063;733903,085143939;2092,59157561301;2361,79582404019
2011;355387,701650122;36206,4755035415;8129,10834757751;702311,236483842;2543,28672879236;2907,27276392421
2012;363577,10184744;39111,1386099886;9112,14068835438;670719,387823753;2993,98188197182;3452,74970380822
2013;371766,50204476;42015,8017164357;10095,1730291313;639127,539163664;3444,67703515128;3998,22664369224
2014;379955,902242079;44920,4648228828;11078,2053699081;607535,690503567;3895,37218833063;4543,70358357648
2015;388145,302439397;47825,1279293299;12061,237710685;575943,841843478;4346,06734151009;5089,1805234605
2016;396334,702636717;50729,791035777;13044,2700514619;544351,993183389;4796,76249468944;5634,65746334451
2017;404524,102834035;53634,454142224;14027,3023922388;512760,144523293;5247,4576478689;6180,13440322853
2018;412713,503031354;56539,1172486711;15010,3347330156;481168,295863204;5698,15280104836;6725,61134311254
