"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;6141085,32038215;2062886,61251953;0;3735609,41419768;0;0
2003;6122695,2387135;2141011,61225507;0;3548415,93185377;0;0
2004;6104305,15704486;2219136,61199057;0;3361222,44950992;0;0
2005;6085915,07537622;2297261,61172611;0;3174028,96716601;0;0
2006;6067524,99370757;2375386,61146164;0;2986835,48482209;1997,69691044092;0
2007;6049134,91203893;2453511,61119717;0;2799642,00247818;20095,3252878189;3,72529029846191e-09
2008;6030744,83037028;2531636,61093268;0;2612448,52013427;38192,9536651969;4283,84257884137
2009;6012354,74870165;2609761,61066821;0;2425255,03779036;56290,5820425749;8567,68515768088
2010;5993964,667033;2687886,61040375;0;2238061,55544651;74388,2104199529;12851,5277365204
2011;5975574,58536436;2766011,61013925;0;2050868,07310259;92485,8387973309;17135,3703153599
2012;5957184,50369572;2844136,60987478;0;1863674,59075868;110583,467174716;21419,2128941994
2013;5938794,42202707;2922261,60961032;0;1676481,10841477;128681,095552094;25703,0554730389
2014;5920404,34035843;3000386,60934585;0;1489287,62607086;146778,723929472;29986,8980518766
2015;5902014,25868978;3078511,60908136;0;1302094,14372694;164876,35230685;34270,7406307161
2016;5883624,17702115;3156636,60881689;0;1114900,66138309;182973,980684228;38554,5832095556
2017;5865234,0953525;3234761,60855243;0;927707,17903918;201071,609061606;42838,4257883951
2018;5846844,01368386;3312886,60828793;0;740513,696695268;219169,237438984;47122,2683672346
