"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;25210,5201891862;2045,36068008444;0;50241,7076220242;0;0
2003;25247,9004003427;2682,99556595623;0;46812,6854969226;0;0
2004;25285,2806114993;3320,63045182801;0;43383,66337182;0;219,722382233711
2005;25322,6608226559;3958,26533770002;0;39954,6412467184;0;642,822889731266
2006;25360,0410338124;4595,90022357181;0;36525,6191216158;0;1065,92339722882
2007;25397,421244969;5233,53510944359;42,3422358795069;33096,5969965141;163,690167597961;1489,02390472637
2008;25434,8014561255;5871,16999531537;395,217139371205;29667,5748714115;350,748601799656;1912,12441222405
2009;25472,1816672821;6508,80488118716;748,092042862903;26238,5527463099;537,80703600141;2335,2249197216
2010;25509,5618784386;7146,43976705894;1100,9669463546;22809,5306212073;724,865470203164;2758,32542721916
2011;25546,9420895952;7784,07465293072;1453,8418498463;19380,5084961047;911,923904404859;3181,42593471671
2012;25584,3223007517;8421,7095388025;1806,716753338;15951,4863710031;1098,98233860661;3604,52644221426
2013;25621,7025119083;9059,34442467429;2159,59165682981;12522,4642459005;1286,04077280831;4027,62694971194
2014;25659,0827230648;9696,97931054607;2512,46656032151;9093,44212079886;1473,09920701006;4450,72745720949
2015;25696,4629342214;10334,6141964179;2865,34146381321;5664,41999569628;1660,15764121176;4873,82796470704
2016;25733,8431453779;10972,2490822896;3218,21636730491;2235,39787059464;1847,21607541351;5296,9284722046
2017;25771,2233565345;11609,8839681617;3571,09127079661;0;2034,27450961526;5720,02897970215
2018;25808,603567691;12247,5188540334;3923,9661742883;0;2221,33294381696;6143,12948719983
