"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;6479183,12997583;2728397,71425033;0;668141,337323934;0;0
2003;6449138,773218;2701983,39345787;0;628748,60563907;0;0
2004;6419094,41646016;2675569,07266542;0;589355,873954207;0;0
2005;6389050,05970233;2649154,75187296;0;549963,142269358;0;0
2006;6359005,70294449;2622740,4310805;0;510570,410584494;0;0
2007;6328961,34618665;2596326,11028804;0;471177,678899631;0;0
2008;6298916,98942882;2569911,78949559;0;431784,947214767;0;0
2009;6268872,63267098;2543497,46870313;0;392392,215529904;0;0
2010;6238828,27591314;2517083,14791067;0;352999,48384504;0;0
2011;6208783,91915531;2490668,82711821;0;313606,752160177;0;0
2012;6178739,56239747;2464254,50632576;0;274214,020475313;0;0
2013;6148695,20563964;2437840,1855333;0;234821,288790464;0;0
2014;6118650,8488818;2411425,86474084;0;195428,557105601;0;0
2015;6088606,49212396;2385011,54394838;0;156035,825420737;0;0
2016;6058562,13536613;2358597,22315593;0;116643,093735874;0;0
2017;6028517,77860829;2332182,90236347;0;77250,3620510101;0;0
2018;5998473,42185046;2305768,58157101;0;37857,6303661466;0;0
