"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;722982,917283864;0;11599,3318420129;88131,501904089;0;173,130179474072
2003;723009,297519939;0;11969,2176815693;95821,6511503253;0;216,41272434259
2004;723035,677756013;0;12339,1035211256;103511,800396562;0;259,695269211108
2005;723062,057992088;0;12708,9893606819;111201,949642798;0;302,977814079612
2006;723088,438228163;8879,39393487573;13078,8752002382;118892,098889034;0;346,26035894813
2007;723114,818464238;18012,6222128198;13448,7610397944;126582,248135271;0;389,542903816648
2008;723141,198700313;27145,8504907675;13818,6468793508;134272,397381507;0;432,825448685151
2009;723167,578936388;36279,0787687153;14188,5327189071;141962,546627743;0;476,107993553669
2010;723193,959172462;45412,307046663;14558,4185584633;149652,695873979;0;519,390538422187
2011;723220,339408537;54545,535324607;14928,3043980197;157342,845120216;0;562,673083290705
2012;723246,719644612;63678,7636025548;15298,190237576;165032,994366452;0;605,955628159209
2013;723273,099880687;72811,9918805026;15668,0760771323;172723,143612688;0;649,238173027727
2014;723299,480116762;81945,2201584503;16037,9619166886;180413,292858925;0;692,520717896245
2015;723325,860352837;91078,4484363943;16407,8477562448;188103,442105161;0;735,803262764748
2016;723352,240588912;100211,676714342;16777,7335958012;195793,591351397;0;779,085807633266
2017;723378,620824986;109344,90499229;17147,6194353575;203483,740597634;0;822,368352501784
2018;723405,001061061;118478,133270238;17517,5052749137;211173,88984387;0;865,650897370288
