"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;4882562,3962651;1696483,20009865;14328,7348075844;1224894,16129124;0;0
2003;4862982,15978985;1650993,32278268;17272,575412821;1189260,51712631;0;0
2004;4843401,92331459;1605503,4454667;20216,4160180576;1153626,87296137;0;0
2005;4823821,68683933;1560013,56815073;23160,2566232942;1117993,22879644;0;0
2006;4804241,45036408;1514523,69083476;26104,0972285299;1082359,5846315;0;7744,42648461461
2007;4784661,21388882;1469033,81351879;29047,9378337665;1046725,94046657;0;76362,4986643791
2008;4765080,97741356;1423543,93620281;31991,778439003;1011092,29630165;0;144980,570844114
2009;4745500,74093831;1378054,05888684;34935,6190442396;975458,652136713;0;213598,643023849
2010;4725920,50446305;1332564,18157087;37879,4596494762;939825,007971779;0;282216,715203583
2011;4706340,26798779;1287074,3042549;40823,3002547128;904191,363806844;0;350834,787383348
2012;4686760,03151254;1241584,42693892;43767,1408599494;868557,719641909;0;419452,859563082
2013;4667179,79503728;1196094,54962295;46710,9814651851;832924,075476974;0;488070,931742817
2014;4647599,55856202;1150604,67230698;49654,8220704217;797290,431312054;0;556689,003922552
2015;4628019,32208676;1105114,794991;52598,6626756582;761656,78714712;0;625307,076102316
2016;4608439,08561151;1059624,91767503;55542,5032808948;726023,142982185;0;693925,148282051
2017;4588858,84913625;1014135,04035906;58486,3438861314;690389,49881725;0;762543,220461786
2018;4569278,61266099;968645,163043097;61430,184491368;654755,854652315;0;831161,292641521
