"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2499244,58743194;9035,97909002029;0;707151,153301716;0;0
2003;2490111,68891834;9962,53978031548;0;716559,896771014;0;0
2004;2480978,79040473;10889,1004706107;0;725968,640240308;348,642922682688;0
2005;2471845,89189111;11815,6611609058;5967,20061691105;735377,383709606;1268,40047350316;1249,81098462082
2006;2462712,9933775;12742,221851201;18845,6479201615;744786,127178904;2188,15802432364;3814,64293390419
2007;2453580,09486389;13668,7825414962;31724,0952234156;754194,870648198;3107,91557514388;6379,47488318756
2008;2444447,19635028;14595,3432317914;44602,5425266698;763603,614117496;4027,67312596436;8944,30683247093
2009;2435314,29783667;15521,9039220866;57480,9898299202;773012,35758679;4947,43067678483;11509,1387817534
2010;2426181,39932306;16448,4646123818;70359,4371331744;782421,101056088;5867,18822760531;14073,9707310367
2011;2417048,50080945;17375,0253026769;83237,8844364285;791829,844525386;6786,94577842578;16638,8026803201
2012;2407915,60229584;18301,5859929721;96116,331739679;801238,58799468;7706,70332924626;19203,6346296025
2013;2398782,70378223;19228,1466832673;108994,779042933;810647,331463978;8626,4608800665;21768,4665788859
2014;2389649,80526862;20154,7073735625;121873,226346187;820056,074933276;9546,21843088698;24333,2985281693
2015;2380516,90675501;21081,2680638577;134751,673649438;829464,81840257;10465,9759817075;26898,1304774527
2016;2371384,0082414;22007,8287541529;147630,120952692;838873,561871868;11385,7335325279;29462,9624267351
2017;2362251,10972778;22934,3894444481;160508,568255942;848282,305341162;12305,4910833484;32027,7943760185
2018;2353118,21121417;23860,9501347432;173387,015559196;857691,04881046;13225,2486341686;34592,6263253018
