"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;5884329,02413321;2856137,20438787;4450,16682490875;5253129,77750188;0;0
2003;5811989,79625565;2968669,69370624;4311,09911163035;5074629,24917132;0;0
2004;5739650,56837812;3081202,18302462;4172,031398352;4896128,72084069;0;0
2005;5667311,34050059;3193734,67234296;4032,9636850736;4717628,19251013;0;0
2006;5594972,11262304;3306267,16166133;3893,89597179519;4539127,66417956;0;0
2007;5522632,88474551;3418799,6509797;3754,82825851685;4360627,135849;7222,00925148278;11649,9860761203
2008;5450293,65686798;3531332,14029807;3615,76054523845;4182126,60751843;36287,7105230913;23672,625332877
2009;5377954,42899042;3643864,62961644;3476,69283196004;4003626,07918787;65353,4117946997;35695,2645896301
2010;5305615,2011129;3756397,11893481;3337,6251186817;3825125,55085731;94419,1130663082;47717,9038463868
2011;5233275,97323537;3868929,60825315;3198,55740540329;3646625,02252674;123484,814337909;59740,5431031398
2012;5160936,74535784;3981462,09757152;3059,48969212489;3468124,49419618;152550,515609518;71763,1823598966
2013;5088597,51748028;4093994,58688989;2920,42197884654;3289623,96586561;181616,216881126;83785,8216166496
2014;5016258,28960276;4206527,07620826;2781,35426556814;3111123,43753505;210681,918152735;95808,4608734064
2015;4943919,06172523;4319059,56552663;2642,28655228973;2932622,90920448;239747,619424343;107831,100130159
2016;4871579,83384767;4431592,05484501;2503,21883901139;2754122,38087392;268813,320695944;119853,739386916
2017;4799240,60597014;4544124,54416338;2364,15112573298;2575621,85254335;297879,021967553;131876,378643669
2018;4726901,37809262;4656657,03348172;2225,08341245458;2397121,32421279;326944,723239161;143899,017900426
