"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;66654,5281011532;1790,71713547508;363,295443775132;69709,791134513;0;0
2003;65851,9716352506;2038,83161509142;877,486711434904;66949,3501303717;0;0
2004;65049,415169348;2286,94609470776;1391,67797909467;64188,9091262296;0;0
2005;64246,8587034454;2535,06057432404;1905,86924675445;61428,4681220874;0;0
2006;63444,3022375428;2783,17505394039;2420,06051441422;58668,0271179462;172,60604159371;0
2007;62641,74577164;3031,28953355667;2934,25178207387;55907,586113804;460,601282981341;587,802051725099
2008;61839,1893057374;3279,40401317301;3448,44304973364;53147,1451096619;748,596524368855;1614,75633351575
2009;61036,6328398348;3527,51849278936;3962,63431739341;50386,7041055197;1036,59176575649;2641,71061530663
2010;60234,0763739322;3775,63297240564;4476,82558505319;47626,2631013785;1324,587007144;3668,66489709727
2011;59431,5199080296;4023,74745202198;4991,01685271296;44865,8220972363;1612,58224853163;4695,61917888792
2012;58628,963442127;4271,86193163833;5505,20812037273;42105,3810930941;1900,57748991915;5722,57346067857
2013;57826,4069762244;4519,97641125461;6019,3993880325;39344,9400889529;2188,57273130666;6749,52774246922
2014;57023,8505103218;4768,09089087095;6533,59065569227;36584,4990848107;2476,56797269429;7776,4820242601
2015;56221,2940444192;5016,20537048724;7047,78192335193;33824,0580806686;2764,56321408181;8803,43630605075
2016;55418,7375785166;5264,31985010358;7561,9731910117;31063,6170765273;3052,55845546944;9830,39058784139
2017;54616,181112614;5512,43432971992;8076,16445867147;28303,1760723852;3340,55369685695;10857,344869632
2018;53813,6246467114;5760,54880933621;8590,35572633124;25542,735068243;3628,54893824458;11884,2991514229
