"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2785816,4575025;2353765,93533644;71631,9080405813;6981243,63083386;0;0
2003;2843186,84717181;2456215,11011449;68050,3126385519;6677425,45087028;0;0
2004;2900557,23684113;2558664,28489253;64468,7172365235;6373607,27090669;0;0
2005;2957927,62651044;2661113,45967057;60887,1218344942;6069789,0909431;0;4571,35921135731
2006;3015298,01617976;2763562,63444859;57305,5264324648;5765970,91097963;0;10775,4406512883
2007;3072668,40584907;2866011,80922663;53723,9310304364;5462152,73101604;0;16979,5220912192
2008;3130038,79551838;2968460,98400468;50142,3356284071;5158334,55105245;0;23183,603531152
2009;3187409,1851877;3070910,15878272;46560,7402263787;4854516,37108886;0;29387,684971083
2010;3244779,57485701;3173359,33356076;42979,1448243493;4550698,19112539;0;35591,7664110139
2011;3302149,96452633;3275808,50833878;39397,54942232;4246880,0111618;0;41795,8478509467
2012;3359520,35419564;3378257,68311682;35815,9540202916;3943061,83119822;0;47999,9292908777
2013;3416890,74386495;3480706,85789487;32234,3586182622;3639243,65123463;0;54204,0107308086
2014;3474261,13353427;3583156,03267291;28652,7632162338;3335425,47127116;0;60408,0921707395
2015;3531631,52320358;3685605,20745096;25071,1678142045;3031607,29130757;0;66612,1736106724
2016;3589001,9128729;3788054,38222897;21489,5724121761;2727789,11134398;0;72816,2550506033
2017;3646372,30254221;3890503,55700701;17907,9770101467;2423970,93138039;0;79020,3364905342
2018;3703742,69221152;3992952,73178506;14326,3816081174;2120152,75141692;0;85224,4179304671
