"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;507991,96595227;48630,9861095524;0;2257886,0577995;0;0
2003;525867,526841015;46736,3927218984;1690,31071040174;2209397,4625189;0;0
2004;543743,087729767;44841,7993342439;3681,10263299197;2160908,8672383;0;38,8342975182459
2005;561618,648618512;42947,2059465898;5671,89455558173;2112420,27195771;0;3424,76340959128
2006;579494,209507264;41052,6125589353;7662,68647817196;2063931,67667711;0;6810,69252166431
2007;597369,770396009;39158,0191712813;9653,47840076173;2015443,08139651;2680,47493430413;10196,6216337373
2008;615245,331284761;37263,4257836267;11644,270323352;1966954,48611592;6189,46992323361;13582,5507458104
2009;633120,892173506;35368,8323959727;13635,0622459417;1918465,89083531;9698,46491216403;16968,4798578834
2010;650996,453062259;33474,2390083182;15625,854168532;1869977,29555471;13207,4599010944;20354,4089699565
2011;668872,013951004;31579,6456206641;17616,6460911217;1821488,70027412;16716,4548900248;23740,3380820295
2012;686747,574839756;29685,0522330101;19607,4380137119;1773000,10499352;20225,4498789543;27126,2671941025
2013;704623,135728501;27790,4588453555;21598,2299363017;1724511,50971292;23734,4448678847;30512,1963061756
2014;722498,696617253;25895,8654577015;23589,0218588919;1676022,91443233;27243,4398568152;33898,1254182486
2015;740374,257505998;24001,272070047;25579,8137814822;1627534,31915173;30752,4348457446;37284,0545303216
2016;758249,81839475;22106,6786823929;27570,6057040719;1579045,72387113;34261,429834675;40669,9836423947
2017;776125,379283495;20212,0852947384;29561,3976266622;1530557,12859054;37770,4248236055;44055,9127544668
2018;794000,940172248;18317,4919070844;31552,1895492519;1482068,53330994;41279,4198125359;47441,8418665398
