"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;9478695,60869882;2791994,03856111;50391,5517253457;1435151,97511528;0;0
2003;9364302,68621194;2899788,14693451;48246,704601286;1373329,59261476;0;0
2004;9249909,76372504;3007582,25530788;46101,8574772263;1311507,21011424;0;0
2005;9135516,84123814;3115376,36368129;43957,0103531666;1249684,82761373;0;0
2006;9021123,91875124;3223170,47205466;41812,163229106;1187862,4451132;1949,41496774182;11449,5924978107
2007;8906730,99626434;3330964,58042803;39667,3161050463;1126040,06261268;16576,7804432213;24330,6359039955
2008;8792338,07377747;3438758,68880144;37522,4689809866;1064217,68011217;31204,1459186971;37211,6793101802
2009;8677945,15129057;3546552,79717481;35377,621856926;1002395,29761164;45831,5113941766;50092,722716365
2010;8563552,22880366;3654346,90554819;33232,7747328663;940572,915111125;60458,8768696561;62973,7661225498
2011;8449159,30631676;3762141,01392159;31087,9276088066;878750,53261061;75086,2423451357;75854,8095287383
2012;8334766,38382986;3869935,12229496;28943,080484747;816928,150110081;89713,6078206152;88735,852934923
2013;8220373,46134299;3977729,23066834;26798,2333606863;755105,767609566;104340,973296091;101616,896341108
2014;8105980,53885609;4085523,33904174;24653,3862366267;693283,385109052;118968,33877157;114497,939747293
2015;7991587,61636919;4193317,44741511;22508,539112567;631461,002608523;133595,70424705;127378,983153477
2016;7877194,69388229;4301111,55578852;20363,6919885073;569638,620108008;148223,06972253;140260,026559662
2017;7762801,77139542;4408905,66416189;18218,8448644467;507816,237607494;162850,435198005;153141,069965851
2018;7648408,84890851;4516699,77253526;16073,997740387;445993,85510698;177477,800673485;166022,113372035
