"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2075641,23527291;69266,5958592631;0;684097,152159277;0;0
2003;2052968,61697981;71956,7350800093;0;673256,153419703;0;0
2004;2030295,99868672;74646,8743007556;2337,16148418002;662415,154680125;0;0
2005;2007623,38039362;77337,0135215018;6569,26273132116;651574,155940548;0;0
2006;1984950,76210053;80027,1527422471;10801,3639784642;640733,157200973;1712,20077082328;0
2007;1962278,14380743;82717,2919629933;15033,4652256072;629892,158461396;6028,9852239415;13264,2414311133
2008;1939605,52551433;85407,4311837396;19265,5664727483;619051,159721822;10345,7696770597;27374,8674430549
2009;1916932,90722124;88097,5704044858;23497,6677198913;608210,160982244;14662,5541301798;41485,4934549965
2010;1894260,28892814;90787,709625232;27729,7689670343;597369,16224267;18979,338583298;55596,1194669418
2011;1871587,67063504;93477,8488459773;31961,8702141773;586528,163503092;23296,1230364181;69706,7454788834
2012;1848915,05234195;96167,9880667236;36193,9714613184;575687,164763518;27612,9074895363;83817,3714908287
2013;1826242,43404885;98858,1272874698;40426,0727084614;564846,16602394;31929,6919426564;97927,9975027703
2014;1803569,81575575;101548,266508216;44658,1739556044;554005,167284366;36246,4763957746;112038,623514712
2015;1780897,19746266;104238,405728962;48890,2752027456;543164,168544788;40563,2608488929;126149,249526657
2016;1758224,57916956;106928,544949708;53122,3764498886;532323,16980521;44880,0453020129;140259,875538599
2017;1735551,96087646;109618,684170454;57354,4776970316;521482,171065636;49196,8297551312;154370,50155054
2018;1712879,34258337;112308,8233912;61586,5789441746;510641,172326058;53513,6142082512;168481,127562486
