"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2903376,94361961;749677,637636788;5361,49517117027;5853925,0764592;1343,69014066067;0
2003;2833978,83354995;781115,997710429;5193,94844707119;5814998,56350331;1343,69014066068;0
2004;2764580,72348028;812554,35778407;5026,40172297216;5776072,05054744;1343,69014066068;0
2005;2695182,61341062;843992,717857711;4858,85499887308;5737145,53759156;1343,69014066069;0
2006;2625784,50334096;875431,077931352;4691,30827477406;5698219,02463567;1343,69014066069;0
2007;2556386,3932713;906869,438004993;4523,76155067497;5659292,5116798;1343,69014066069;0
2008;2486988,28320163;938307,798078634;4356,21482657595;5620365,99872392;1343,6901406607;0
2009;2417590,17313197;969746,158152275;4188,66810247686;5581439,48576805;1343,6901406607;0
2010;2348192,06306231;1001184,51822592;4021,12137837784;5542512,97281216;1343,69014066071;0
2011;2278793,95299265;1032622,87829956;3853,57465427875;5503586,45985629;1343,69014066071;0
2012;2209395,84292299;1064061,2383732;3686,02793017967;5464659,94690041;1343,69014066072;0
2013;2139997,73285332;1095499,59844684;3518,48120608064;5425733,43394452;1343,69014066072;0
2014;2070599,62278363;1126937,95852048;3350,93448198156;5386806,92098865;1343,69014066073;0
2015;2001201,51271397;1158376,31859412;3183,38775788253;5347880,40803277;1343,69014066073;0
2016;1931803,40264431;1189814,67866776;3015,84103378345;5308953,89507689;1343,69014066074;0
2017;1862405,29257464;1221253,0387414;2848,29430968442;5270027,38212101;1343,69014066074;0
2018;1793007,18250498;1252691,39881504;2680,74758558534;5231100,86916514;1343,69014066075;0
