"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;1357530,60209877;48070,9580099341;4537,56994829234;3674911,77326003;0;0
2003;1356539,06950933;45598,3145364756;6169,68826500187;3615638,96862467;0;0
2004;1355547,53691989;43125,671063018;7801,80658171186;3556366,16398932;0;0
2005;1354556,00433046;40653,0275895596;9433,92489842139;3497093,35935396;477,714223880321;1788,90429561213
2006;1353564,47174102;38180,384116102;11066,0432151314;3437820,5547186;6064,85091753863;8961,69633282535
2007;1352572,93915158;35707,7406426445;12698,1615318409;3378547,75008325;11651,9876111988;16134,4883700367
2008;1351581,40656214;33235,097169186;14330,2798485509;3319274,94544789;17239,124304859;23307,2804072499
2009;1350589,87397271;30762,4536957284;15962,3981652604;3260002,14081253;22826,2609985191;30480,0724444631
2010;1349598,34138327;28289,81022227;17594,5164819704;3200729,33617717;28413,3976921793;37652,8644816745
2011;1348606,80879383;25817,1667488124;19226,63479868;3141456,53154182;34000,5343858376;44825,6565188877
2012;1347615,27620439;23344,5232753539;20858,75311539;3082183,72690646;39587,6710794978;51998,4485561009
2013;1346623,74361496;20871,8798018964;22490,8714320995;3022910,9222711;45174,807773158;59171,2405933123
2014;1345632,21102552;18399,2363284379;24122,9897488095;2963638,11763576;50761,9444668181;66344,0326305255
2015;1344640,67843608;15926,5928549804;25755,108065519;2904365,3130004;56349,0811604783;73516,8246677369
2016;1343649,14584664;13453,9493815219;27387,226382229;2845092,50836504;61936,2178541385;80689,6167049501
2017;1342657,61325721;10981,3059080644;29019,3446989385;2785819,70372969;67523,3545477968;87862,4087421633
2018;1341666,08066777;8508,66243460681;30651,4630156485;2726546,89909433;73110,4912414569;95035,2007793747
