"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2163233,3760364;810235,109603845;8476,22786001023;5671961,03581777;0;0
2003;2170153,97410262;828019,870704636;10595,284825013;5560022,01485777;0;0
2004;2177074,57216884;845804,63180542;12714,3417900149;5448082,99389774;0;0
2005;2183995,17023506;863589,392906204;14833,3987550177;5336143,97293773;0;0
2006;2190915,76830128;881374,154006995;16952,4557200195;5224204,9519777;0;0
2007;2197836,3663675;899158,915107779;19071,5126850214;5112265,93101767;0;0
2008;2204756,96443372;916943,676208563;21190,5696500242;5000326,91005766;0;0
2009;2211677,56249994;934728,437309355;23309,626615026;4888387,88909763;0;0
2010;2218598,16056616;952513,198410138;25428,6835800288;4776448,86813763;0;0
2011;2225518,75863238;970297,95951093;27547,7405450307;4664509,84717759;0;0
2012;2232439,35669861;988082,720611714;29666,7975100335;4552570,82621759;0;0
2013;2239359,95476483;1005867,4817125;31785,8544750353;4440631,80525756;0;0
2014;2246280,55283105;1023652,24281329;33904,9114400381;4328692,78429756;0;0
2015;2253201,15089727;1041437,00391407;36023,96840504;4216753,76333752;0;0
2016;2260121,74896349;1059221,76501486;38143,0253700428;4104814,74237752;0;0
2017;2267042,34702971;1077006,52611565;40262,0823350446;3992875,72141749;0;0
2018;2273962,94509593;1094791,28721643;42381,1393000474;3880936,70045745;0;0
