"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;693243,260620907;34129,6963057213;9694,50829451368;2591632,83765049;0;0
2003;711658,199044637;33179,4319386235;10445,3425238573;2525976,92235579;0;0
2004;730073,137468368;32229,1675715258;11196,1767532011;2460321,00706108;0;0
2005;748488,075892098;31278,903204428;11947,0109825446;2394665,09176637;1102,51306689624;5785,8680896312
2006;766903,014315836;30328,6388373303;12697,8452118882;2329009,17647167;2248,25061203772;14824,6587813087
2007;785317,952739567;29378,3744702325;13448,6794412318;2263353,26117696;3393,98815717874;23863,4494729899
2008;803732,891163297;28428,1101031348;14199,5136705756;2197697,34588225;4539,72570232023;32902,2401646674
2009;822147,829587027;27477,845736037;14950,3478999191;2132041,43058755;5685,46324746124;41941,0308563486
2010;840562,768010765;26527,5813689395;15701,1821292627;2066385,51529284;6831,20079260273;50979,8215480261
2011;858977,706434496;25577,3170018417;16452,0163586063;2000729,59999813;7976,93833774421;60018,6122397035
2012;877392,644858226;24627,052634744;17202,8505879501;1935073,68470342;9122,67588288523;69057,4029313847
2013;895807,583281957;23676,7882676462;17953,6848172937;1869417,76940872;10268,4134280267;78096,1936230622
2014;914222,521705694;22726,5239005485;18704,5190466372;1803761,85411401;11414,1509731677;87134,9843147397
2015;932637,460129425;21776,2595334507;19455,3532759808;1738105,9388193;12559,8885183092;96173,7750064209
2016;951052,398553155;20825,995166353;20206,1875053246;1672450,0235246;13705,6260634507;105212,565698098
2017;969467,336976886;19875,7307992552;20957,0217346682;1606794,10822988;14851,3636085917;114251,356389776
2018;987882,275400624;18925,4664321574;21707,8559640117;1541138,19293517;15997,1011537332;123290,147081457
