"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2957410,16559732;917824,558263987;2367,21550164494;9659333,24970537;0;1895,15138802503
2003;2925192,13627443;1011166,77547511;2230,44498467981;9471513,58131385;0;2013,59834977661
2004;2892974,10695153;1104508,99268624;2093,67446771468;9283693,91292232;0;2132,04531152817
2005;2860756,07762863;1197851,20989734;1956,90395074949;9095874,24453086;1257,68664919771;2250,49227327973
2006;2828538,04830574;1291193,42710847;1820,13343378436;8908054,57613933;5820,16817315668;2368,93923503131
2007;2796320,01898285;1384535,64431956;1683,36291681917;8720234,90774781;10382,6496971138;2487,38619678287
2008;2764101,98965996;1477877,86153069;1546,59239985404;8532415,23935628;14945,1312210709;2605,83315853443
2009;2731883,96033707;1571220,07874179;1409,82188288891;8344595,57096481;19507,612745028;2724,28012028601
2010;2699665,93101417;1664562,29595292;1273,05136592372;8156775,90257329;24070,094268987;2842,72708203757
2011;2667447,90169128;1757904,51316404;1136,28084895859;7968956,23418176;28632,5757929441;2961,17404378913
2012;2635229,87236838;1851246,73037514;999,510331993399;7781136,56579024;33195,0573169012;3079,62100554071
2013;2603011,84304549;1944588,94758627;862,739815028268;7593316,89739871;37757,5388408583;3198,06796729227
2014;2570793,8137226;2037931,16479737;725,969298063137;7405497,22900724;42320,0203648172;3316,51492904383
2015;2538575,7843997;2131273,38200849;589,198781097948;7217677,56061572;46882,5018887743;3434,96189079541
2016;2506357,75507681;2224615,59921959;452,428264132817;7029857,89222419;51444,9834127314;3553,40885254697
2017;2474139,72575392;2317957,81643072;315,657747167628;6842038,22383267;56007,4649366904;3671,85581429853
2018;2441921,69643103;2411300,03364184;178,887230202497;6654218,55544114;60569,9464606475;3790,30277605011
