"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;1626433,00066791;38562,552049689;1119,418710534;4137003,81503925;0;0
2003;1634907,64652736;47882,000210885;1810,69381042593;4064614,83876106;0;0
2004;1643382,29238681;57201,4483720846;2501,96891031787;3992225,86248285;0;0
2005;1651856,93824625;66520,8965332806;3193,2440102098;3919836,88620466;1875,36023964919;1406,25987665169
2006;1660331,5841057;75840,3446944766;3884,51911010174;3847447,90992644;4157,29854314961;7974,18845028803
2007;1668806,22996515;85159,7928556725;4575,79420999368;3775058,93364826;6439,23684665095;14542,1170239225
2008;1677280,8758246;94479,2410168685;5267,06930988561;3702669,95737004;8721,17515015136;21110,0455975588
2009;1685755,52168404;103798,689178064;5958,34440977755;3630280,98109186;11003,1134536518;27677,9741711933
2010;1694230,16754349;113118,13733926;6649,61950966949;3557892,00481364;13285,0517571522;34245,9027448297
2011;1702704,81340294;122437,585500456;7340,89460956142;3485503,02853546;15566,9900606526;40813,8313184641
2012;1711179,45926238;131757,033661652;8032,16970945336;3413114,05225724;17848,928364153;47381,7598921005
2013;1719654,10512183;141076,481822848;8723,4448093453;3340725,07597905;20130,8666676534;53949,6884657349
2014;1728128,75098127;150395,929984044;9414,71990923723;3268336,09970084;22412,8049711538;60517,6170393694
2015;1736603,39684072;159715,37814524;10105,9950091292;3195947,12342265;24694,7432746543;67085,5456130058
2016;1745078,04270017;169034,826306436;10797,2701090211;3123558,14714444;26976,6815781556;73653,4741866402
2017;1753552,68855961;178354,274467632;11488,5452089133;3051169,17086625;29258,619881656;80221,4027602766
2018;1762027,33441906;187673,722628828;12179,8203088052;2978780,19458804;31540,5581851564;86789,331333911
