"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;4735746,03122683;1562000,72924939;15717,2662066352;10131117,0654874;7182,68478259572;0
2003;4683568,73681709;1618104,06452659;20034,2785571422;9823614,48028719;6878,86108561954;440,331611637026
2004;4631391,44240734;1674207,39980377;24351,2909076493;9516111,895087;6575,03738864337;2284,20482294681
2005;4579214,1479976;1730310,73508097;28668,3032581564;9208609,30988681;6271,2136916673;4128,07803425658
2006;4527036,85358787;1786414,07035817;32985,3156086616;8901106,72468662;5967,38999469113;5971,95124556636
2007;4474859,55917811;1842517,40563536;37302,3279591687;8593604,13948643;5663,56629771495;7815,82445687614
2008;4422682,26476838;1898620,74091256;41619,3403096758;8286101,55428624;5359,74260073877;9659,69766818592
2009;4370504,97035863;1954724,07618976;45936,3526601829;7978598,96908605;5055,91890376271;11503,5708794957
2010;4318327,67594889;2010827,41146696;50253,3650106899;7671096,38388586;4752,09520678653;13347,4440908055
2011;4266150,38153915;2066930,74674414;54570,377361197;7363593,79868579;4448,27150981035;15191,3173021153
2012;4213973,0871294;2123034,08202134;58887,3897117041;7056091,2134856;4144,44781283417;17035,190513425
2013;4161795,79271966;2179137,41729854;63204,4020622112;6748588,62828541;3840,62411585799;18879,0637247353
2014;4109618,49830993;2235240,75257574;67521,4144127183;6441086,04308522;3536,80041888193;20722,9369360451
2015;4057441,20390017;2291344,08785293;71838,4267632253;6133583,45788503;3232,97672190575;22566,8101473548
2016;4005263,90949044;2347447,42313012;76155,4391137306;5826080,87268484;2929,15302492958;24410,6833586646
2017;3953086,61508068;2403550,75840732;80472,4514642376;5518578,28748465;2625,3293279534;26254,5565699744
2018;3900909,32067095;2459654,09368451;84789,4638147447;5211075,70228446;2321,50563097722;28098,4297812842
