"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;956716,811967459;27065,5940556;293,541510201525;1747133,36680149;0;0
2003;942879,273787577;25823,611397821;1713,22893789178;1731336,28643832;0;0
2004;929041,735607695;24581,628740042;3132,91636558156;1715539,20607515;0;0
2005;915204,197427813;23339,646082263;4552,60379327182;1699742,12571198;102,581970616477;2380,87549798004
2006;901366,659247927;22097,663424484;5972,29122096207;1683945,04534882;1119,00759325433;7007,52022312768
2007;887529,121068045;20855,680766705;7391,97864865232;1668147,96498565;2135,43321589218;11634,1649482772
2008;873691,582888164;19613,6981089259;8811,66607634258;1652350,88462248;3151,85883852979;16260,8096734248
2009;859854,044708282;18371,7154511469;10231,3535040328;1636553,80425931;4168,28446116764;20887,4543985743
2010;846016,5065284;17129,7327933679;11651,0409317226;1620756,72389614;5184,71008380549;25514,0991237219
2011;832178,968348518;15887,7501355889;13070,7283594129;1604959,64353297;6201,13570644311;30140,7438488714
2012;818341,430168636;14645,7674778099;14490,4157871031;1589162,5631698;7217,56132908096;34767,3885740191
2013;804503,891988754;13403,7848200309;15910,1032147934;1573365,48280663;8233,98695171881;39394,0332991686
2014;790666,353808869;12161,8021622519;17329,7906424836;1557568,40244346;9250,41257435642;44020,6780243162
2015;776828,815628987;10919,8195044729;18749,4780701739;1541771,3220803;10266,8381969943;48647,3227494657
2016;762991,277449105;9677,83684669388;20169,1654978637;1525974,24171713;11283,2638196321;53273,9674746133
2017;749153,739269223;8435,85418891488;21588,8529255539;1510177,16135396;12299,6894422697;57900,6121997628
2018;735316,201089341;7193,87153113587;23008,5403532442;1494380,08099079;13316,1150649076;62527,2569249123
