"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;4583824,69688284;2131332,87528635;22365,3299930249;678855,026467964;0;0
2003;4622512,63578314;2108990,96824422;21281,4091241979;643973,233027875;0;0
2004;4661200,57468343;2086649,0612021;20197,4882553713;609091,439587787;0;1621,36796762887
2005;4699888,5135837;2064307,15415998;19113,5673865443;574209,646147698;0;3957,47824072558
2006;4738576,452484;2041965,24711785;18029,6465177173;539327,85270761;0;6293,58851382229
2007;4777264,39138429;2019623,34007573;16945,7256488902;504446,059267521;0;8629,69878691901
2008;4815952,33028457;1997281,4330336;15861,8047800632;469564,265827432;0;10965,8090600148
2009;4854640,26918486;1974939,52599148;14777,8839112362;434682,472387344;0;13301,9193331115
2010;4893328,20808515;1952597,61894935;13693,9630424092;399800,678947255;0;15638,0296062082
2011;4932016,14698543;1930255,71190723;12610,0421735826;364918,885507166;0;17974,1398793049
2012;4970704,08588572;1907913,80486511;11526,1213047556;330037,092067078;0;20310,2501524007
2013;5009392,02478601;1885571,89782298;10442,2004359285;295155,298626989;0;22646,3604254974
2014;5048079,96368629;1863229,99078085;9358,2795671015;260273,5051869;0;24982,4706985941
2015;5086767,90258658;1840888,08373873;8274,35869827447;225391,711746812;0;27318,5809716899
2016;5125455,84148687;1818546,17669661;7190,43782944744;190509,918306723;0;29654,6912447866
2017;5164143,78038715;1796204,26965448;6106,51696062041;155628,124866635;0;31990,8015178833
2018;5202831,71928744;1773862,36261236;5022,59609179385;120746,331426546;0;34326,91179098
