"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;2893710,71811359;59675,1276288405;0;738898,801066838;5923,26611513918;0
2003;2862404,13061174;56885,4404299837;0;724876,917762194;5759,99769059313;0
2004;2831097,54310989;54095,7532311277;0;710855,034457549;5596,72926604707;0
2005;2799790,95560805;51306,0660322709;10706,0229148977;696833,151152901;5433,46084150107;0
2006;2768484,36810619;48516,3788334141;25735,3390948176;682811,267848257;5270,19241695502;0
2007;2737177,78060435;45726,6916345572;40764,6552747376;668789,384543609;5106,92399240896;5975,21242044494
2008;2705871,1931025;42937,0044357004;55793,9714546576;654767,501238964;4943,65556786297;12918,8412357531
2009;2674564,60560065;40147,3172368445;70823,2876345776;640745,61793432;4780,38714331691;19862,4700510614
2010;2643258,0180988;37357,6300379876;85852,6038144976;626723,734629672;4617,11871877086;26806,0988663696
2011;2611951,43059696;34567,9428391308;100881,919994418;612701,851325028;4453,85029422486;33749,7276816778
2012;2580644,8430951;31778,2556402739;115911,236174334;598679,96802038;4290,5818696788;40693,356496986
2013;2549338,25559326;28988,568441418;130940,552354254;584658,084715735;4127,31344513275;47636,9853122942
2014;2518031,66809141;26198,8812425612;145969,868534174;570636,201411091;3964,04502058675;54580,6141276024
2015;2486725,08058956;23409,1940437043;160999,184714094;556614,318106443;3800,7765960407;61524,2429429125
2016;2455418,49308771;20619,5068448475;176028,500894014;542592,434801798;3637,5081714947;68467,8717582207
2017;2424111,90558586;17829,8196459906;191057,817073934;528570,55149715;3474,23974694865;75411,5005735289
2018;2392805,31808401;15040,1324471347;206087,133253854;514548,668192506;3310,97132240259;82355,1293888371
