"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;49,8153896465499;0,895617084460255;0;21,2070117169376;0;3,34062542833419
2003;49,2712468075154;0,930400584584504;0;20,8709407560107;0;3,63496624296261
2004;48,7271039684811;0,965184084708753;0,0546895787297501;20,5348697950839;0;3,92930705759102
2005;48,1829611294468;0,999967584833001;0,153720747912899;20,1987988341569;0;4,22364787221943
2006;47,6388182904125;1,03475108495725;0,25275191709602;19,8627278732301;0,00684880308329383;4,51798868684784
2007;47,0946754513782;1,0695345850815;0,35178308627917;19,5266569123032;0,0241159408957756;4,81232950147626
2008;46,5505326123439;1,10431808520573;0,450814255462291;19,1905859513764;0,0413830787082503;5,10667031610467
2009;46,0063897733096;1,13910158532998;0,549845424645412;18,8545149904495;0,058650216520725;5,40101113073308
2010;45,4622469342753;1,17388508545423;0,648876593828561;18,5184440295227;0,0759173543331997;5,69535194536149
2011;44,918104095241;1,20866858557848;0,747907763011682;18,1823730685958;0,0931844921456744;5,98969275998991
2012;44,3739612562067;1,24345208570273;0,846938932194831;17,846302107669;0,110451629958156;6,28403357461832
2013;43,8298184171724;1,27823558582698;0,945970101377952;17,5102311467421;0,127718767770631;6,57837438924673
2014;43,2856755781381;1,31301908595121;1,0450012705611;17,1741601858153;0,144985905583106;6,87271520387515
2015;42,7415327391038;1,34780258607546;1,14403243974422;16,8380892248883;0,16225304339558;7,16705601850367
2016;42,1973899000695;1,38258608619971;1,24306360892737;16,5020182639615;0,179520181208055;7,46139683313208
2017;41,6532470610352;1,41736958632396;1,34209477811049;16,1659473030346;0,196787319020537;7,7557376477605
2018;41,109104222001;1,45215308644821;1,44112594729361;15,8298763421078;0,214054456833011;8,05007846238891
