"abrechnungsjahr";"erdgas";"waerme";"fluessiggas";"heizoel";"holzpellets";"strom"
2002;179,460849959914;28,3297334776935;0;43,9503686535791;0,0236930644605564;3,12897126241302
2003;179,638002393477;28,0047819641576;0,0451339124946344;42,4343546744922;0,0230399907623724;3,27431837463848
2004;179,81515482704;27,6798304506217;0,37145616277428;40,9183406954053;0,0223869170641882;3,41966548686401
2005;179,992307260602;27,3548789370858;0,697778413053811;39,4023267163188;0,0217338433660041;3,56501259908953
2006;180,169459694165;27,0299274235499;1,02410066333334;37,8863127372319;0,0210807696678199;3,71035971131499
2007;180,346612127727;26,704975910014;1,35042291361299;36,3702987581451;0,0204276959696359;3,85570682354052
2008;180,52376456129;26,3800243964782;1,67674516389252;34,8542847790582;0,0197746222714517;4,00105393576604
2009;180,700916994852;26,0550728829423;2,00306741417205;33,3382707999713;0,0191215485732674;4,1464010479915
2010;180,878069428415;25,7301213694064;2,3293896644517;31,8222568208848;0,0184684748750834;4,29174816021703
2011;181,055221861977;25,4051698558706;2,65571191473123;30,3062428417979;0,0178154011768992;4,43709527244249
2012;181,23237429554;25,0802183423347;2,98203416501076;28,790228862711;0,0171623274787152;4,58244238466801
2013;181,409526729102;24,7552668287988;3,3083564152904;27,2742148836242;0,0165092537805309;4,72778949689354
2014;181,586679162665;24,4303153152629;3,63467866556994;25,7582009045377;0,0158561800823469;4,873136609119
2015;181,763831596227;24,105363801727;3,96100091584947;24,2421869254508;0,0152031063841627;5,01848372134452
2016;181,94098402979;23,7804122881911;4,28732316612911;22,7261729463639;0,0145500326859787;5,16383083357005
2017;182,118136463352;23,4554607746552;4,61364541640864;21,210158967277;0,0138969589877944;5,30917794579551
2018;182,295288896915;23,1305092611193;4,93996766668818;19,6941449881901;0,0132438852896104;5,45452505802103
