plz;ort;bundesland;FW ja/nein?
78267;Aach;Baden-Württemberg;keine fernwaerme
54298;Aach;Rheinland-Pfalz;keine fernwaerme
52062;Aachen;Nordrhein-Westfalen;fernwaerme
52064;Aachen;Nordrhein-Westfalen;fernwaerme
52066;Aachen;Nordrhein-Westfalen;fernwaerme
52068;Aachen;Nordrhein-Westfalen;fernwaerme
52070;Aachen;Nordrhein-Westfalen;fernwaerme
52072;Aachen;Nordrhein-Westfalen;fernwaerme
52074;Aachen;Nordrhein-Westfalen;fernwaerme
52076;Aachen;Nordrhein-Westfalen;fernwaerme
52078;Aachen;Nordrhein-Westfalen;fernwaerme
52080;Aachen;Nordrhein-Westfalen;keine fernwaerme
73430;Aalen;Baden-Württemberg;fernwaerme
73431;Aalen;Baden-Württemberg;fernwaerme
73432;Aalen;Baden-Württemberg;keine fernwaerme
73433;Aalen;Baden-Württemberg;keine fernwaerme
73434;Aalen;Baden-Württemberg;keine fernwaerme
65326;Aarbergen;Hessen;keine fernwaerme
25560;Aasbüttel;Schleswig-Holstein;keine fernwaerme
91183;Abenberg;Bayern;keine fernwaerme
93326;Abensberg;Bayern;fernwaerme
55767;Abentheuer;Rheinland-Pfalz;keine fernwaerme
91720;Absberg;Bayern;keine fernwaerme
74232;Abstatt;Baden-Württemberg;keine fernwaerme
99713;Abtsbessingen;Thüringen;keine fernwaerme
73453;Abtsgmünd;Baden-Württemberg;fernwaerme
69518;Abtsteinach;Hessen;keine fernwaerme
97355;Abtswind;Bayern;keine fernwaerme
55568;Abtweiler;Rheinland-Pfalz;keine fernwaerme
88147;Achberg;Baden-Württemberg;keine fernwaerme
77855;Achern;Baden-Württemberg;fernwaerme
28832;Achim;Niedersachsen;fernwaerme
94250;Achslach;Bayern;keine fernwaerme
88480;Achstetten;Baden-Württemberg;keine fernwaerme
56729;Acht;Rheinland-Pfalz;keine fernwaerme
55767;Achtelsbach;Rheinland-Pfalz;keine fernwaerme
24239;Achterwehr;Schleswig-Holstein;keine fernwaerme
25917;Achtrup;Schleswig-Holstein;fernwaerme
73099;Adelberg;Baden-Württemberg;keine fernwaerme
37139;Adelebsen;Niedersachsen;keine fernwaerme
29352;Adelheidsdorf;Niedersachsen;keine fernwaerme
73486;Adelmannsfelden;Baden-Württemberg;keine fernwaerme
85111;Adelschlag;Bayern;keine fernwaerme
91325;Adelsdorf;Bayern;keine fernwaerme
74740;Adelsheim;Baden-Württemberg;keine fernwaerme
91587;Adelshofen;Bayern;keine fernwaerme
82276;Adelshofen;Bayern;fernwaerme
86477;Adelsried;Bayern;keine fernwaerme
86559;Adelzhausen;Bayern;keine fernwaerme
53518;Adenau;Rheinland-Pfalz;keine fernwaerme
67742;Adenbach;Rheinland-Pfalz;keine fernwaerme
38528;Adenbüttel;Niedersachsen;keine fernwaerme
21365;Adendorf;Niedersachsen;fernwaerme
84166;Adlkofen;Bayern;keine fernwaerme
18211;Admannshagen-Bargeshagen;Mecklenburg-Vorpommern;fernwaerme
8626;Adorf/Vogtland;Sachsen;fernwaerme
25572;Aebtissinwisch;Schleswig-Holstein;keine fernwaerme
31855;Aerzen;Niedersachsen;keine fernwaerme
71563;Affalterbach;Baden-Württemberg;keine fernwaerme
86444;Affing;Bayern;fernwaerme
27257;Affinghausen;Niedersachsen;keine fernwaerme
54689;Affler;Rheinland-Pfalz;keine fernwaerme
21684;Agathenburg;Niedersachsen;keine fernwaerme
25560;Agethorst;Schleswig-Holstein;keine fernwaerme
74858;Aglasterhausen;Baden-Württemberg;keine fernwaerme
84168;Aham;Bayern;keine fernwaerme
48683;Ahaus;Nordrhein-Westfalen;keine fernwaerme
27367;Ahausen;Niedersachsen;keine fernwaerme
17375;Ahlbeck;Mecklenburg-Vorpommern;keine fernwaerme
29693;Ahlden;Niedersachsen;keine fernwaerme
24358;Ahlefeld-Bistensee;Schleswig-Holstein;keine fernwaerme
59227;Ahlen;Nordrhein-Westfalen;fernwaerme
59229;Ahlen;Nordrhein-Westfalen;fernwaerme
21702;Ahlerstedt;Niedersachsen;keine fernwaerme
6313;Ahlsdorf;Sachsen-Anhalt;keine fernwaerme
98553;Ahlstädt;Thüringen;keine fernwaerme
34292;Ahnatal;Hessen;keine fernwaerme
24996;Ahneby;Schleswig-Holstein;keine fernwaerme
29353;Ahnsbeck;Niedersachsen;keine fernwaerme
31708;Ahnsen;Niedersachsen;keine fernwaerme
94345;Aholfing;Bayern;keine fernwaerme
94527;Aholming;Bayern;keine fernwaerme
74744;Ahorn;Baden-Württemberg;keine fernwaerme
96482;Ahorn;Bayern;keine fernwaerme
95491;Ahorntal;Bayern;keine fernwaerme
53506;Ahrbrück;Rheinland-Pfalz;keine fernwaerme
23623;Ahrensbök;Schleswig-Holstein;keine fernwaerme
22926;Ahrensburg;Schleswig-Holstein;fernwaerme
16356;Ahrensfelde;Brandenburg;fernwaerme
18320;Ahrenshagen-Daskow;Mecklenburg-Vorpommern;keine fernwaerme
25853;Ahrenshöft;Schleswig-Holstein;keine fernwaerme
18347;Ahrenshoop;Mecklenburg-Vorpommern;keine fernwaerme
25885;Ahrenviöl;Schleswig-Holstein;keine fernwaerme
24896;Ahrenviölfeld;Schleswig-Holstein;keine fernwaerme
25885;Ahrenviölfeld;Schleswig-Holstein;keine fernwaerme
86551;Aichach;Bayern;fernwaerme
94529;Aicha vorm Wald;Bayern;keine fernwaerme
73101;Aichelberg;Baden-Württemberg;keine fernwaerme
86479;Aichen;Bayern;keine fernwaerme
78733;Aichhalden;Baden-Württemberg;keine fernwaerme
88317;Aichstetten;Baden-Württemberg;fernwaerme
72631;Aichtal;Baden-Württemberg;keine fernwaerme
