"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;1,20397580140887;0;41,3454003015981;0;0;57,450623896993
2003;34,3671295202052;0;65,6328704797948;0;0;0
2004;18,565647557863;0;81,434352442137;0;0;0
2005;32,2575133832959;0;65,6128493378897;0;0;2,12963727881441
2006;18,536870795534;0,689056536437572;79,3686494275505;0;0;1,40542324047785
2007;16,8196105526311;0,706136226390676;79,1917224601745;0;0;3,28253076080371
2008;23,3618630406579;0;70,7765067270844;0;0;5,86163023225778
2009;37,320763756982;0,862346624297996;55,9913657358752;0;0;5,82552388284476
2010;38,2182272038514;0,694126110241639;56,4168763757866;0,434948812092162;0;4,2358214980282
2011;49,7898247234207;0,415938807077006;47,3840449175568;0;0,0547770807260356;2,35541447121953
2012;36,0746817405677;3,49936577733924;53,0846256764863;0;2,44710893520227;4,89421787040454
2013;52,0848821113609;0;41,3720934060249;0;0;6,54302448261418
2014;39,2584571835253;0;57,5875037552674;0;0;3,15403906120724
2015;33,989121958368;0;57,2650807893423;0;1,03313087718023;7,71266637510948
2016;28,2327839615676;0;65,6135316787669;3,99485561919897;0,0273870357806145;2,13144170468596
2017;16,3893545380351;7,09148786874521;66,0429976944377;0;2,25212394205577;8,22403595672621
2018;63,8857546935749;0;0;0;18,0065210792569;18,1077242271683
