"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;29,064885901009;0;25,7013249637461;0;0;45,2337891352449
2003;31,5991958160222;0;25,6354083592656;0;0;42,7653958247121
2004;40,1141239611076;0;18,7192061966133;0;0;41,1666698422791
2005;34,5589903958767;0;22,7328706914616;0;0;42,7081389126617
2006;49,6356676078817;0;23,2776630016704;0;0;27,0866693904479
2007;35,3812649079016;0;14,1192385268537;0;0;50,4994965652447
2008;35,225277557681;0;27,8466940723143;0;0;36,9280283700048
2009;26,2013921130013;0;9,76283017189335;0;0;64,0357777151054
2010;25,8876708767956;0,436752330277805;13,8088894419139;0;0;59,8666873510127
2011;23,3961465698769;0;18,5768123054732;0,309022064818194;0;57,7180190598317
2012;19,1753671568809;0;16,64502981798;0,309630271387424;0;63,8699727537517
2013;30,1193353505328;0;15,5521151636883;0,592550649662977;0;53,735998836116
2014;30,9610458919731;0;2,85090716119672;0;0;66,1880469468301
2015;23,7577084022999;0;2,31361143784415;0;0;73,928680159856
2016;42,2850447204068;0;1,98744785879435;0;0,0383715297331216;55,6891358910657
2017;24,6106699980945;0;12,8147892067085;0,274029305659444;0,101189888269844;62,1993216012677
2018;100;0;0;0;0;0
