abrechnungsjahr;erdgas;fluessiggas;heizoel;holzpellets;strom;waerme
2002;88,46221311;0;11,53778689;0;0;0
2003;27,44236611;0;72,55763389;0;0;0
2004;37,14887741;0;62,61155158;0;0;0,239571016
2005;67,23146114;0;29,18924282;0;0;3,579296047
2006;26,24292113;0;70,65480103;0;0;3,102277843
2007;15,42533258;0;48,30048482;0;0;36,27418259
2008;43,4702077;0;45,14383066;0;0;11,38596165
2009;91,06729246;0;0,044474257;0;0;8,888233279
2010;70,18683019;0,312912957;5,855918406;0;1,013056713;22,63128174
2011;55,2365371;0;13,96627826;0;21,61294013;9,184244506
2012;64,1988382;0;16,00723236;0;6,96965145;12,824278
2013;17,06515944;0;37,41168172;0;18,47704682;27,04611201
2014;45,05576973;0;10,202261;0;0;44,74196927
2015;55,11500163;0,811660312;13,75146575;6,854570318;6,149316693;17,3179853
2016;68,0631572;0;15,32209646;8,421072856;0,866428074;7,327245414
2017;32,29967093;0;17,42269871;15,33563504;6,00691842;28,93507689
2018;55,25708304;0,297814045;-5,306075434;5,888880426;12,61990461;31,24239331
