"abrechnungsjahr";"erdgas";"heizoel";"strom";"waerme"
2002;17,6348147872978;0,541552023082228;0;81,82363318962
2003;12,1202802825089;0,438353554726739;0;87,4413661627643
2004;8,38888893177834;0,450207516806083;0;91,1609035514156
2005;28,6289783005382;2,24770487799046;0;69,1233168214713
2006;22,3984379108083;1,56876038481387;0;76,0328017043778
2007;23,5480449544707;4,6072639117853;0;71,844691133744
2008;16,8428229743003;1,84929656448431;0;81,3078804612154
2009;9,41032327071039;0,285885430263599;0;90,303791299026
2010;5,15180857028997;1,01449433325743;0,779749566593813;93,0539475298588
2011;14,2338589510281;0;0;85,7661410489719
2012;13,8745397466949;0,0391611782230062;0;86,0862990750821
2013;14,6372832765579;1,45721844347031;0;83,9054982799718
2014;11,0307793107955;0;19,5016923912917;69,4675282979127
2015;5,43125605277384;0;0;94,5687439472262
2016;56,0743380047074;0;0;43,9256619952926
2017;27,9999585969196;0;0,0652089502615614;71,9348324528189
2018;100;0;0;0
