"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;82,0636914154102;0;17,9363085845898;0;0;0
2003;64,9415008205219;0;35,0584991794781;0;0;0
2004;74,2306885364017;0,413619330865421;25,3556921327329;0;0;0
2005;80,0716012077358;1,13925383679816;18,5491876764877;0;0;0,239957278978345
2006;80,5137863234746;1,4383174782537;18,0478961982717;0;0;0
2007;76,7173189996453;0,728509846547745;21,5069804215453;0;0;1,04719073226165
2008;77,0787732012013;1,67045503887066;19,8011467576083;0;0;1,44962500231973
2009;77,6369759028508;0,481179289458579;20,4585775045349;0;0,101794906838421;1,32147239631728
2010;76,0419725145203;0,620572352439033;22,6575107329659;0;0,270234312850194;0,409710087224488
2011;73,5421348567664;0;24,3529250994705;0;1,26164766742655;0,843292376336624
2012;63,5563545388874;0;35,6189993796587;0;0,824646081453933;0
2013;67,061609313717;0;30,6035151105572;1,47010684397553;0,691814985400248;0,172953746350062
2014;65,6813840155023;7,64471598258482;25,2203170081609;0,717818762346667;0,735764231405333;0
2015;72,9532285862381;4,50014520282268;19,9637206307875;0,751019301044331;0,525713510731032;1,3061727683763
2016;74,9516477616191;2,01405284245161;21,9757240160443;0;0;1,05857537988494
2017;70,5280465825294;7,05945575354047;19,1643327720063;0;1,34482845072861;1,90333644119514
2018;36,4864864864865;0;56,7567567567568;0;6,75675675675676;0
