"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;32,3817664064841;0;14,9275648996967;0;0;52,6906686938192
2003;18,2225398903146;0;26,4867890537605;0;0;55,2906710559249
2004;21,5369151661178;0;22,8976442044243;0;0;55,565440629458
2005;23,2086514993989;0;21,172950572367;0;0;55,6183979282341
2006;23,6863862511027;0;40,7167322923008;0;0;35,5968814565965
2007;36,0997496116538;0;29,6507489174266;0;0;34,2495014709196
2008;35,8844933763673;0,268358063717403;21,1379855786374;0;0;42,7091629812779
2009;28,5256801224198;0,659906171551875;18,1911644134162;0;0;52,6232492926121
2010;21,7281370620046;0;20,0797235594171;0,0243787456848749;0,229490541441854;57,9382700914516
2011;22,6266456829928;0;37,519912921997;0,0847589264553087;0;39,7686824685549
2012;20,2503752993048;0;39,1201299678553;0,0837625902883158;0,771023429969763;39,7747087125818
2013;20,9111602385363;0;30,0982736050838;0;0,276610777059199;48,7139553793207
2014;11,5340094161484;0;17,6817441881724;0;0;70,7842463956792
2015;33,373358994665;0;8,68960906173438;0;0,0267557207741033;57,9102762228265
2016;29,6356074864908;0;9,92039352375351;0,297583475765712;0,160351202674822;59,9860643113151
2017;44,7425315521279;0;10,2226666488615;0;1,39972377344829;43,6350780255623
2018;48,4776029887099;0;0;0;0;51,5223970112901
