"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;37,8906139074566;0;62,1093860925434;0;0;0
2003;36,7842628369889;0;62,8844318159681;0;0;0,331305347043014
2004;41,1645256164185;0;49,3081348561244;0;0;9,52733952745715
2005;51,5975131059499;2,19029734702827;45,59302421924;0;0;0,619165327781842
2006;64,7821568388526;6,20906658837715;25,3680751999863;0;0;3,64070137278393
2007;65,4805775694585;1,08742920893868;21,5318542328994;0;0;11,9001389887034
2008;61,4610063331544;0;37,2908115223651;0;0;1,24818214448043
2009;60,0542613997463;0;34,1440443983652;0;0;5,80169420188844
2010;57,0229517554179;3,91676450521445;35,3106166959797;0;1,79032994814166;1,95933709524623
2011;32,7844534384078;2,45458545674872;55,9303326175722;2,24395306260548;2,39796304113564;4,18871238353023
2012;68,1293719632946;2,64181558671196;27,6800533123145;0;0,875005162530459;0,673753975148453
2013;67,5406655367802;5,66081484835547;26,4669931230134;0;0;0,331526491850979
2014;49,6539200359012;10,0560387882209;36,3850428171524;0;0,206177315666604;3,69882104305887
2015;6,01601097128439;1,19592111368876;1,59148099052029;0,653467542013062;0,428838074446072;90,1142813080474
2016;51,7597813628001;8,58803428340084;19,8697307781797;10,0246743430531;5,11713197136983;4,64064726119643
2017;40,5860104593562;1,96625302922186;38,8235176655306;3,539873771162;12,1813394230951;2,90300565163416
2018;25,3059930099706;3,39125089844286;10,0764207004135;1,59593671272603;2,08943257559848;57,5409661028485
