"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"strom";"waerme"
2002;11,8763265790981;0;52,8608526362086;0;35,2628207846933
2003;10,0828683190925;0;31,8689811502825;0;58,048150530625
2004;15,6498702661361;0;29,355508250193;0;54,9946214836708
2005;8,59468408141763;0;26,0088737487277;0;65,3964421698546
2006;19,2395580906986;0;29,2213094774302;0;51,5391324318712
2007;20,1478628999498;0;23,8600400025824;0;55,9920970974678
2008;26,9099781496875;1,00553387917977;15,4743346159322;0;56,6101533552005
2009;13,9957236424358;0,428493666142807;20,8985350198531;0;64,6772476715683
2010;15,2752204223867;0;51,4713231630671;0;33,2534564145462
2011;21,1758885898513;0;29,2899272709138;0,375695568404817;49,1584885708301
2012;30,7887633778377;0;22,425903071898;0;46,7853335502642
2013;20,1201220442438;0;19,5842495868285;0,884807260804122;59,4108211081236
2014;17,6633076112359;0;12,4080438774472;0;69,9286485113169
2015;49,2489483073205;0;6,89105052661184;0,396999159235138;43,4630020068325
2016;40,7847233415144;0;5,39453265075878;0,449270163283428;53,3714738444434
2017;60,2015916072984;0;3,14479535895469;0,950070991688937;35,703542042058
2018;100;0;0;0;0
