"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;27,6250636094616;0;71,984256974301;0;0;0,390679416237364
2003;23,3966037530591;0;76,6033962469409;0;0;0
2004;17,1558341792792;0,661030300836498;82,0390688215455;0;0;0,144066698338736
2005;19,8505289449056;0,597928502607017;76,6571033835525;0;0;2,89443916893494
2006;21,6512859359188;1,02631020541539;74,5684090255613;0;0;2,75399483310453
2007;18,016152059528;0;79,2150345652979;0;0;2,76881337517407
2008;26,5217015108472;0;70,7725511962737;0;0;2,70574729287908
2009;29,7522891798049;0,294692199984455;65,7684932639241;0;0,266727886799955;3,91779746948656
2010;22,8085339670259;0,274701200110679;75,2915291611284;0;1,19912577443784;0,426109897297118
2011;21,5578807450456;0,383904364740982;75,8865320665329;0;1,31313055891721;0,858552264763281
2012;20,1581839378578;0;76,9864895586227;0,871602381311301;0,599299758156663;1,38442436405151
2013;26,4030714396435;0;71,4534805942448;0,845134373116926;1,2983135929948;0
2014;30,7192626679112;0;65,6041543266539;0;1,9816541821496;1,69492882328527
2015;34,9881076101951;1,56652665760111;59,9302691975009;0;2,76780829335217;0,74728824135074
2016;39,141198024337;1,93447421630718;57,294899438204;0;0,904566788109288;0,724861533042502
2017;32,5728182264646;5,09739932122134;57,8877292550546;0,545818537447408;2,34974880371109;1,54648585610099
2018;32,7510917030568;0;67,2489082969432;0;0;0
