"abrechnungsjahr";"erdgas";"fluessiggas";"heizoel";"holzpellets";"strom";"waerme"
2002;25,4010997266379;0;41,5616730497446;0;0;33,0372272236176
2003;20,6714618697823;0;51,2492942569487;0;0;28,0792438732689
2004;19,2295343156962;0;42,1386445085616;0;0;38,6318211757422
2005;14,5942915542888;0;62,8305395091802;0;0;22,575168936531
2006;10,3686919726403;0;50,6381244165776;0;0;38,9931836107821
2007;39,7883294445108;0;31,7059480509149;0;0;28,5057225045743
2008;29,8861244410178;0;17,9790923565108;0;0;52,1347832024714
2009;22,8416474976279;0,101155133253409;17,2671184999844;0;0;59,7900788691342
2010;16,9171047982673;0;32,0450381690016;0,0602652111637857;0;50,9775918215673
2011;15,5120644148836;0;35,8731754259621;0;0;48,6147601591543
2012;7,24807088094505;0;37,0873418902024;0;0;55,6645872288525
2013;20,3091396293838;0;33,8224970488792;0;0,823613945751732;45,0447493759853
2014;4,35518648580523;0;92,2682407160865;0;0;3,37657279810822
2015;35,4184050002276;0;21,227691090341;0;0,120983494123742;43,2329204153077
2016;34,2725980097756;0;11,423327279723;0;0,0463009068085193;54,2577738036929
2017;46,8217589667376;0;7,59189458483487;0;0,623717593872536;44,962628854555
2018;25,4838897410873;0,0253574219951276;16,1438305087264;0,0107793102899859;0,239550588781246;58,0965924291199
